C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:18:34

Vmag< 11&dec< 0&rah >=9.5&rah< 9.75
-----------------------------------

Number of objects : 7080

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
4484|TYC 8588-200-1                                                        |Star                              |09 32 25.4576471088 -54 50 59.502285276|276.8398276472586 -02.3952358993859| -15.022 10.793   |10.18    |~              |    ~     ~    
4485|TYC 8588-204-1                                                        |Star                              |09 32 09.5741592816 -55 03 29.266235028|276.9537588999504 -02.5737402058630|   -8.571 3.848   |10.96    |~              |    ~     ~    
4486|TYC 8588-576-1                                                        |Star                              |09 31 52.9389693240 -54 46 11.389862064|276.7280522660122 -02.3897409637216|   -5.726 3.992   |10.15    |~              |    ~     ~    
4487|TYC 8588-846-1                                                        |Star                              |09 31 18.1599152376 -54 32 26.243191644|276.5102494294267 -02.2792678561225|  -14.636 8.402   |10.33    |~              |    ~     ~    
4488|TYC 8588-1382-1                                                       |Star                              |09 32 09.1363402056 -54 31 17.833531836|276.5875445723618 -02.1813609293546|  -5.260 -9.628   |10.85    |~              |    ~     ~    
4489|TYC 8588-1478-1                                                       |Star                              |09 32 36.5419479744 -54 54 36.719992764|276.9003804882881 -02.4214365291273| -25.921 18.609   |10.94    |~              |    ~     ~    
4490|TYC 8588-1742-1                                                       |Star                              |09 30 38.2070374272 -54 52 34.620498408|276.6696371830321 -02.5900072674042|   -7.605 5.256   |10.46    |~              |    ~     ~    
4491|GSC 08588-01746                                                       |Double or Multiple Star           |09 30 29.8518805728 -55 03 14.143895820|276.7768164381130 -02.7331669020136|   3.381 11.457   |10.736   |~              |    ~     ~    
4492|TYC 8588-1835-1                                                       |Star                              |09 32 00.3193727520 -55 20 40.549618140|277.1328966249640 -02.7985249514812| -11.417 20.120   |10.39    |~              |    ~     ~    
4493|TYC 8588-1876-1                                                       |Star                              |09 33 09.9261283752 -54 40 10.207370964|276.7958393487337 -02.1902294793509| -24.512 19.535   |10.35    |~              |    ~     ~    
4494|TYC 8588-2043-1                                                       |Star                              |09 31 25.8407792952 -55 26 00.078575388|277.1337393057714 -02.9190893378327| -20.485 10.020   |9.73     |~              |    ~     ~    
4495|TYC 8588-2189-1                                                       |Star                              |09 31 26.3801913960 -55 28 22.049744232|277.1616293160216 -02.9470364471101|  14.480 -5.171   |9.95     |~              |    ~     ~    
4496|TYC 8588-2292-1                                                       |Star                              |09 30 08.5328586192 -54 27 14.495994468|276.3279743712354 -02.3313644749108|   -5.469 3.795   |10.56    |~              |    ~     ~    
4497|TYC 8588-2338-1                                                       |Star                              |09 30 21.6559215600 -54 59 49.186681800|276.7234942553997 -02.7051018958340| -16.575 18.915   |10.56    |~              |    ~     ~    
4498|TYC 8588-2894-1                                                       |Star                              |09 32 45.8640077736 -54 22 44.146881372|276.5558042500674 -02.0162218179582|   -0.407 5.993   |10.66    |~              |    ~     ~    
4499|TYC 8588-3038-1                                                       |Star                              |09 30 02.6932477512 -54 28 13.947473676|276.3290045787780 -02.3530825270008|  -2.340 -2.251   |10.40    |~              |    ~     ~    
4500|TYC 8588-3375-1                                                       |Pulsating Variable                |09 32 32.9628889104 -55 08 58.971129216|277.0570265985593 -02.6029558631570| -20.655 11.171   |10.82    |~              |    ~     ~    
4501|TYC 8588-3617-1                                                       |High Proper Motion Star           |09 32 09.7401288648 -55 06 58.957585560|276.9937366702507 -02.6161429563538|105.960 -17.516   |10.41    |~              |    ~     ~    
4502|TYC 8588-3632-1                                                       |Double or Multiple Star           |09 33 16.703088 -55 07 25.50720        |277.115968971 -02.513179219        |     -26.2 17.9   |10.745   |~              |    ~     ~    
4503|TYC 8589-273-1                                                        |Star                              |09 36 16.8596913432 -54 35 27.053297412|277.0761063907274 -01.8282796300285| -14.145 11.435   |10.66    |~              |    ~     ~    
4504|TYC 8589-501-1                                                        |Star                              |09 35 47.2151613408 -54 42 30.979370376|277.1020617185910 -01.9635609047974| -20.816 10.819   |10.74    |~              |    ~     ~    
4505|TYC 8589-647-1                                                        |Star                              |09 37 02.4541109856 -54 35 19.898593728|277.1566442497283 -01.7531733151855|   -6.784 3.904   |10.41    |~              |    ~     ~    
4506|TYC 8589-1137-1                                                       |Star                              |09 34 02.9664595704 -54 22 30.258349500|276.6909469902936 -01.8866628876490| -22.180 10.457   |10.85    |~              |    ~     ~    
4507|TYC 8589-1843-1                                                       |High Proper Motion Star           |09 34 24.9723711264 -55 00 29.300119344|277.1577998568189 -02.3178531801509|-59.520 -14.502   |10.61    |~              |    ~     ~    
4508|HD 84508                                                              |Star                              |09 44 05.2270667328 -54 05 32.346201732|277.6024754242025 -00.7032389512238| -18.980 10.594   |9.82     |A5             |    ~     ~    
