C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:03:01

Vmag< 11&dec< 0&rah >=15.75&rah< 16.0
-------------------------------------

Number of objects : 6366

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |       ang. size       
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|-----------------------
5671|TYC 8709-606-1                                                        |Star                                  |15 56 10.9410646704 -58 29 11.261010012|325.1428562747246 -03.8227244066939|  -6.714 -4.535   |10.54    |~                |    ~     ~            
5672|TYC 8709-776-1                                                        |Star                                  |15 52 59.2891434768 -59 22 07.172799960|324.2596760776469 -04.2373990603902|-21.126 -10.604   |10.81    |~                |    ~     ~            
5673|TYC 8709-1085-1                                                       |Star                                  |15 48 09.3137883336 -58 28 51.292734420|324.3323419801217 -03.1549569464569|  -3.217 -1.605   |10.50    |~                |    ~     ~            
5674|TYC 8709-1100-1                                                       |Star                                  |15 57 49.7359554648 -58 46 20.640484236|325.1216677358507 -04.1794227279183|  -1.681 -8.417   |10.69    |~                |    ~     ~            
5675|TYC 8709-1134-1                                                       |Star                                  |15 58 31.1700834936 -59 03 01.365116940|325.0086257202017 -04.4487052315475|    4.069 2.481   |10.73    |~                |    ~     ~            
5676|TYC 8709-1176-1                                                       |Star                                  |15 48 01.7667208752 -59 03 37.714180896|323.9589247733993 -03.5990306680904|  -3.299 -2.498   |10.93    |~                |    ~     ~            
5677|TYC 8709-1186-1                                                       |Star                                  |15 55 46.5258767160 -58 58 19.120304676|324.7892704786160 -04.1605081595572|   4.253 -8.509   |10.95    |~                |    ~     ~            
5678|TYC 8709-1286-1                                                       |Star                                  |15 59 34.8563960568 -59 09 20.691964548|325.0433703043494 -04.6174353778778|-20.662 -19.979   |10.92    |~                |    ~     ~            
5679|TYC 8709-1547-1                                                       |Star                                  |15 49 57.5509471512 -59 12 23.276640420|324.0614898993592 -03.8675406618289|  -4.644 -9.678   |10.39    |~                |    ~     ~            
5680|TYC 8709-1671-1                                                       |Star                                  |15 56 51.1062952752 -59 00 33.780790764|324.8714092579468 -04.2784328309890|  -5.985 -7.945   |10.92    |~                |    ~     ~            
5681|TYC 8709-1811-1                                                       |Star                                  |15 55 50.0063736576 -59 08 02.945459400|324.6904460091225 -04.2895145442589|  -8.612 -7.970   |10.59    |~                |    ~     ~            
5682|TYC 8709-1956-1                                                       |Star                                  |15 58 37.0440526584 -59 20 49.748962992|324.8244615627175 -04.6822217192987|-22.864 -23.924   |10.69    |~                |    ~     ~            
5683|TYC 8709-2112-1                                                       |Star                                  |15 57 20.6510677968 -59 00 13.510960956|324.9235584930997 -04.3151181359749|  -7.012 -9.216   |10.84    |~                |    ~     ~            
5684|TYC 8709-2200-1                                                       |Star                                  |15 55 09.3414252792 -59 14 24.188116632|324.5555283705538 -04.3149595496181| -6.636 -11.107   |10.73    |~                |    ~     ~            
5685|TYC 8709-2277-1                                                       |Star                                  |15 47 06.0173424648 -59 56 58.314977124|323.3136879297114 -04.2234691426582|  -5.498 -7.022   |10.68    |~                |    ~     ~            
5686|TYC 8709-2336-1                                                       |Star                                  |15 54 18.4677655104 -59 19 39.305319492|324.4159180857230 -04.3129027632006|  -7.759 -5.987   |10.96    |~                |    ~     ~            
5687|TYC 8709-2420-1                                                       |Star                                  |15 48 04.9301880504 -58 52 13.404845892|324.0825542019727 -03.4542810749304|    3.265 4.059   |10.82    |~                |    ~     ~            
5688|TYC 8709-2534-1                                                       |Star                                  |15 46 49.4549482008 -59 24 48.434478912|323.6185757070586 -03.7806489308032|  -0.791 -1.824   |10.92    |~                |    ~     ~            
5689|TYC 8709-2626-1                                                       |Star                                  |15 54 34.4572561008 -58 50 14.135181000|324.7565340041749 -03.9576917911428| -5.036 -10.196   |10.64    |~                |    ~     ~            
5690|TYC 8709-2676-1                                                       |Star                                  |15 56 43.1682355176 -59 54 13.594781340|324.2789427407723 -04.9503556261030|  -4.787 -8.480   |10.88    |~                |    ~     ~            
5691|TYC 8709-2824-1                                                       |Spectroscopic Binary                  |15 54 39.8639073936 -58 57 31.609181988|324.6875920424533 -04.0585525530204|    1.488 0.273   |10.92    |~                |    ~     ~            
5692|TYC 8709-2897-1                                                       |Star                                  |15 54 50.3909677224 -59 50 39.005907036|324.1362430262768 -04.7529747570345| -6.682 -13.697   |10.66    |~                |    ~     ~            
