C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:55:07

Vmag< 11&dec< 0&rah >=7.25&rah< 7.5
-----------------------------------

Number of objects : 10274

  #  |                                               identifier                                                |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
-----|---------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
7190 |CD-51 2423                                                                                               |Star                          |07 18 17.3098911384 -51 19 53.422517532|262.4955009733913 -16.9190676948528|   7.075 -6.633   |10.34    |F5              |    ~     ~    
7191 |HD 57949                                                                                                 |Spectroscopic Binary          |07 20 49.9437372264 -51 24 16.668914652|262.7260578479422 -16.5810555944902| -28.887 36.620   |6.78     |A3V             |    ~     ~    
7192 |HD 57996                                                                                                 |Star                          |07 21 04.5659454120 -51 17 17.728626264|262.6297771855786 -16.5006063435558|   -4.477 8.668   |10.58    |B9/A0V          |    ~     ~    
7193 |HD 58067                                                                                                 |High Proper Motion Star       |07 21 17.8152423864 -51 18 52.831684404|262.6692111080489 -16.4791711095691| -22.732 82.376   |9.93     |G3/6            |    ~     ~    
7194 |HD 58114                                                                                                 |Star                          |07 21 32.3852811480 -51 30 35.171550072|262.8719149395629 -16.5206572661188|   -4.169 8.540   |10.61    |B9V             |    ~     ~    
7195 |HD 58217                                                                                                 |Star                          |07 22 02.6381646984 -51 33 10.925515944|262.9454709744474 -16.4654617694726|  -7.570 21.572   |10.09    |A8/9V           |    ~     ~    
7196 |HD 58269                                                                                                 |Spectroscopic Binary          |07 22 13.8651762432 -51 29 14.015487480|262.8942957170413 -16.4128419985002| -15.194 33.735   |9.44     |G5(V)           |    ~     ~    
7197 |CD-51 2462                                                                                               |Star                          |07 22 14.4562243584 -51 35 49.278467904|263.0001834063621 -16.4545855341628|   0.742 18.559   |10.41    |F0              |    ~     ~    
7198 |HD 58539                                                                                                 |Star                          |07 23 24.6302725416 -51 30 11.578878108|262.9851421386865 -16.2505050425939|   -4.126 9.559   |10.11    |B9V             |    ~     ~    
7199 |CD-51 2481                                                                                               |High Proper Motion Star       |07 24 48.3006285298 -51 19 38.788830823|262.9076419816874 -15.9810091561956|183.679 392.666   |10.18    |K0              |    ~     ~    
