C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:50:25

Vmag< 11&dec< 0&rah >=1.75&rah< 2.0
-----------------------------------

Number of objects : 2401

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
1983|TYC 8854-405-1                                                        |Star                           |01 55 40.9409511552 -63 29 24.508453272|291.3175993340830 -52.1652029860909|    1.082 2.164   |10.54    |~               |    ~     ~    
1984|TYC 8854-387-1                                                        |Spectroscopic Binary           |01 56 00.3858532968 -64 05 08.419490556|291.6503016732538 -51.6050530528555|   13.301 0.947   |10.80    |~               |    ~     ~    
1985|TYC 8854-323-1                                                        |Star                           |01 57 40.0884489720 -63 17 52.157712480|290.8583295658150 -52.2501169566260|   5.460 23.112   |10.425   |~               |    ~     ~    
1986|TYC 8854-610-1                                                        |Star                           |01 59 12.1458826296 -63 26 39.916221648|290.7036599339621 -52.0450800128657|  3.706 -13.263   |10.049   |~               |    ~     ~    
1987|TYC 8853-74-1                                                         |Star                           |01 52 41.4181409352 -62 36 48.225199176|291.2576483766197 -53.1044803815837|  14.231 -4.051   |10.833   |~               |    ~     ~    
1988|TYC 8853-534-1                                                        |Star                           |01 49 18.7323743664 -63 49 11.616246228|292.5872234117796 -52.1303736450521|    1.479 5.450   |10.885   |~               |    ~     ~    
1989|TYC 8853-643-1                                                        |Star                           |01 50 57.8239114272 -64 16 55.495332408|292.5882396268381 -51.6341325303544|   32.407 5.256   |10.934   |~               |    ~     ~    
1990|TYC 8853-1049-1                                                       |Star                           |01 50 10.5856916713 -64 10 34.172274536|292.6540913121703 -51.7640435949094|   34.917 10.11   |10.68    |~               |    ~     ~    
1991|TYC 8853-1126-1                                                       |Star                           |01 48 03.5467781520 -64 19 42.496304196|293.0888056628685 -51.7041120377902|    4.574 1.792   |10.34    |~               |    ~     ~    
1992|TYC 8853-1244-1                                                       |Star                           |01 53 26.6188261776 -64 10 07.396768452|292.1170828415366 -51.6378829000943|  -8.723 -6.044   |10.944   |~               |    ~     ~    
1993|TYC 8853-1265-1                                                       |Star                           |01 50 47.3317208688 -63 22 38.249093280|292.0710716278696 -52.4814293619513| -5.532 -19.611   |10.58    |~               |    ~     ~    
1994|TYC 8853-1554-1                                                       |Star                           |01 45 16.0702768080 -64 14 40.743616200|293.5020303282552 -51.8868027346430|   13.389 6.391   |10.94    |~               |    ~     ~    
1995|CD-62 66                                                              |Double or Multiple Star        |01 47 01.3824350544 -62 01 54.958592280|291.9136270782481 -53.8911721461750|   14.679 9.209   |9.723    |~               |    ~     ~    
1996|CPD-62 138                                                            |High Proper Motion Star        |01 46 11.1809089152 -61 33 33.644898144|291.7788649820238 -54.3674869949779| -61.137 -6.898   |10.14    |~               |    ~     ~    
1997|HD 11042                                                              |High Proper Motion Star        |01 46 39.3328060992 -61 23 27.563590068|291.5838984861095 -54.5039526446802|-55.031 -16.985   |7.68     |F5V             |    ~     ~    
1998|TYC 8850-793-1                                                        |Star                           |01 45 38.5464012432 -61 54 29.376710352|292.0954804380557 -54.0649246094217|  34.737 13.640   |10.453   |~               |    ~     ~    
1999|HD 11569                                                              |Spectroscopic Binary           |01 50 24.7845163368 -71 56 56.671813464|296.5900756617359 -44.4458089191065|269.138 -30.235   |9.02     |Fwpec           |    ~     ~    
2000|CD-73 85                                                              |Star                           |01 58 56.6020333872 -73 09 21.824814024|296.3168562967779 -43.0944293193514|  31.854 24.107   |10.241   |~               |    ~     ~    
2001|HD 11603                                                              |Star                           |01 50 49.0872343296 -71 13 09.777289368|296.2181489441104 -45.1268356790878|   5.737 -0.375   |9.67     |G8/K2III        |    ~     ~    
2002|HD 12271                                                              |Star                           |01 57 07.3897797264 -71 04 42.342199680|295.4716385140431 -45.0863211720552|   16.272 8.526   |10.03    |K0/2(III)       |    ~     ~    
2003|HD 12299                                                              |Star                           |01 57 19.5421909368 -71 07 32.336351436|295.4737961708815 -45.0363570111482|   17.781 4.824   |8.77     |K2/3III         |    ~     ~    
2004|HD 11798                                                              |High Proper Motion Star        |01 52 31.1536272504 -71 38 52.673599752|296.2349529026173 -44.6775314384868|  74.938 18.178   |9.72     |F7V             |    ~     ~    
2005|HD 12119                                                              |Star                           |01 55 38.0704489608 -71 29 22.928964108|295.8335905931837 -44.7432368394240|  39.916 14.106   |10.32    |F5V             |    ~     ~    
2006|HD 12172                                                              |High Proper Motion Star        |01 56 13.7761223064 -71 36 49.353802164|295.8321255512544 -44.6105980281902|  60.418 17.957   |8.79     |F2IV            |    ~     ~    
2007|HD 12336                                                              |Star                           |01 57 36.6784739976 -71 40 24.563689644|295.7187572368053 -44.5163455585922|    3.774 5.396   |9.82     |F2III           |    ~     ~    
2008|HD 11703                                                              |Star                           |01 51 36.1079370672 -71 54 36.174332736|296.4502373894645 -44.4532423796427| -18.709 28.903   |9.27     |G0V             |    ~     ~    
