C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:42:20

Vmag< 11&dec >=0&rah >=13.0&rah< 13.25
--------------------------------------

Number of objects : 2057

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------
1030|HD 113271                                                                                                |Star                           |13 02 28.8783628488 +15 52 50.571270048|316.3272214059639 +78.4642352239273|   -3.844 4.440  |9.29     |K0III             |    ~     ~    
1031|HD 113270                                                                                                |High Proper Motion Star        |13 02 29.8474279800 +16 02 32.254818288|316.5219899812335 +78.6211621134178| -68.000 15.612  |9.01     |K1IV-V            |    ~     ~    
1032|HD 113638                                                                                                |Spectroscopic Binary           |13 04 57.4634767800 +15 58 08.908835376|319.3171973020384 +78.4085210085336|-128.047 -56.183 |10.41    |G8V               |    ~     ~    
1033|HD 113784                                                                                                |Star                           |13 05 59.4655131648 +15 50 57.470486856|320.3397632862718 +78.2262620883416|   -2.900 5.657  |9.56     |K0III             |    ~     ~    
1034|BD+16 2464                                                                                               |High Proper Motion Star        |13 07 20.6388083064 +15 47 55.389887700|321.7870800951948 +78.0841406296388| 40.462 -45.894  |10.66    |K5                |    ~     ~    
1035|HD 113038                                                                                                |Star                           |13 00 46.3305851448 +15 29 53.672497656|313.9654323553826 +78.1695517463309|  9.643 -12.958  |8.40     |F8                |    ~     ~    
1036|BD+16 2455                                                                                               |Star                           |13 04 20.2854207240 +15 15 55.883684880|317.7694814069008 +77.7640600894563|  17.095 15.975  |10.71    |F8                |    ~     ~    
1037|HD 113879                                                                                                |Spectroscopic Binary           |13 06 35.8983647328 +15 22 26.304793320|320.3826193188437 +77.7290415221042|  -32.778 6.231  |9.43     |F5V               |    ~     ~    
1038|BD+15 2531B                                                                                              |High Proper Motion Star        |13 00 46.2130776864 +14 22 11.595904212|313.0728899060094 +77.0575252246215|  1.518 -74.688  |10.20    |G5                |    ~     ~    
1039|HD 113039                                                                                                |High Proper Motion Star        |13 00 46.4613462600 +14 22 38.155312092|313.0826386554427 +77.0646434009424|  1.868 -74.869  |8.96     |G0                |    ~     ~    
