C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:40:02

Vmag< 11&dec >=0&rah >=6.25&rah< 6.5
------------------------------------

Number of objects : 7649

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
5695|HD 256948                                                             |Star                           |06 25 06.5246670048 +04 51 28.020116700|205.5950836103970 -03.6142658994074|   2.526 -2.931   |9.69     |A0V            |    ~     ~    
5696|TYC 141-53-1                                                          |Star                           |06 26 15.9282097992 +05 34 05.343894588|205.0985620579543 -03.0295838849096|  -0.917 -1.694   |10.96    |~              |    ~     ~    
5697|TYC 141-95-1                                                          |Star                           |06 27 46.2230271336 +05 20 56.519399184|205.4667947870744 -02.7992910197317|   3.691 -3.107   |9.20     |~              |    ~     ~    
5698|TYC 141-331-1                                                         |High Proper Motion Star        |06 28 18.8188912464 +05 33 31.019486112|205.3435031232917 -02.5824103272348| 44.065 -89.890   |10.98    |G6V            |    ~     ~    
5699|TYC 141-359-1                                                         |Star                           |06 28 55.3964200464 +05 22 47.733615120|205.5723459760836 -02.5306211315404|  -2.353 -9.128   |10.48    |~              |    ~     ~    
5700|TYC 141-409-1                                                         |Star                           |06 28 46.5020363376 +05 21 06.390863028|205.5802407667441 -02.5763561214409|  -2.346 -8.268   |9.88     |~              |    ~     ~    
5701|TYC 141-445-1                                                         |Star                           |06 27 20.3833599696 +05 15 56.013550776|205.4911518431578 -02.9329650038554| -0.728 -10.516   |10.89    |~              |    ~     ~    
5702|2MASS J06275444+0425299                                               |Red Giant Branch star          |06 27 54.4349104104 +04 25 30.034561584|206.3028533590249 -03.1966607353457|  -4.839 -4.441   |10.39    |~              |    ~     ~    
5703|TYC 141-456-1                                                         |Star                           |06 28 48.9902816400 +04 59 36.798258048|205.9029610870030 -02.7328916580641|  -4.629 -7.151   |9.82     |~              |    ~     ~    
5704|HD 257279                                                             |Star                           |06 26 21.0616375344 +05 27 28.704547728|205.2061961425351 -03.0618327764446|   1.679 -2.119   |10.17    |B8V            |    ~     ~    
5705|TYC 141-616-1                                                         |Star                           |06 23 11.1048111192 +04 44 55.313931480|205.4689156629550 -04.0893571571763|    1.702 5.264   |9.81     |~              |    ~     ~    
5706|TYC 141-723-1                                                         |Star                           |06 26 31.4562887448 +05 13 45.571877760|205.4290976416087 -03.1296509189365|  -0.673 -3.777   |10.95    |~              |    ~     ~    
5707|TYC 141-747-1                                                         |Star                           |06 23 57.2777525256 +05 33 44.810488476|204.8361034906784 -03.5414284775658|  0.537 -10.410   |10.37    |~              |    ~     ~    
5708|TYC 141-765-1                                                         |Star                           |06 28 15.6003451392 +05 27 21.052401768|205.4285026056693 -02.6418213954961| -10.530 -6.334   |10.23    |~              |    ~     ~    
5709|TYC 141-795-1                                                         |Star                           |06 23 42.8326957488 +05 12 13.442424696|205.1264149282152 -03.7612628105443|  -5.544 -4.713   |10.22    |~              |    ~     ~    
5710|TYC 141-822-1                                                         |Star                           |06 25 15.7604322168 +04 53 58.481685636|205.5758070709292 -03.5609099012726|  -0.789 -6.822   |9.98     |~              |    ~     ~    
5711|HD 256804                                                             |Star                           |06 24 34.7693814504 +04 55 46.587392868|205.4700296024742 -03.6977123709672|  -1.928 -6.037   |10.49    |A3V            |    ~     ~    
5712|TYC 141-897-1                                                         |Star                           |06 29 03.7124302608 +05 30 54.062547444|205.4684396072587 -02.4375446408530|    2.723 2.513   |9.26     |~              |    ~     ~    
5713|TYC 141-924-1                                                         |Star                           |06 28 50.3041737048 +05 04 27.544557900|205.8337968301220 -02.6907088004108|  -9.791 -5.565   |10.92    |~              |    ~     ~    
5714|TYC 141-943-1                                                         |Star                           |06 29 35.2682160264 +05 28 56.136366768|205.5580917642170 -02.3366567137436|  -1.615 -6.229   |10.28    |~              |    ~     ~    
5715|TYC 141-948-1                                                         |Star                           |06 29 20.0562248280 +04 26 07.222143084|206.4582764710530 -02.8764525574632|   8.033 11.135   |10.47    |~              |    ~     ~    
5716|TYC 141-1030-1                                                        |Star                           |06 26 11.1319555272 +04 44 27.066604740|205.8234888250267 -03.4307971759374| 12.309 -17.578   |10.52    |~              |    ~     ~    
5717|TYC 141-1156-1                                                        |Star                           |06 24 13.8979832904 +04 53 24.874002708|205.4646570503711 -03.7927292739042|  -37.507 5.035   |10.82    |~              |    ~     ~    
5718|HD 258081                                                             |Star                           |06 28 45.3457507128 +05 09 51.593829804|205.7443741239824 -02.6673217498869|   1.154 -1.465   |10.74    |B8V            |    ~     ~    
5719|TYC 141-1230-1                                                        |Star                           |06 27 26.6159863536 +04 32 16.773672552|206.1489906823805 -03.2468586394716|  -3.512 -7.465   |10.34    |~              |    ~     ~    
5720|TYC 141-1287-1                                                        |Star                           |06 24 16.9780971792 +05 28 34.522108104|204.9506160593455 -03.5091646671681|  -3.858 -3.743   |10.19    |~              |    ~     ~    
5721|HD 256898                                                             |Star                           |06 24 52.5182483352 +04 49 25.090783752|205.5983606376076 -03.6816229329311|  -2.033 -0.869   |10.24    |A5             |    ~     ~    
