C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:30:19

Vmag< 11&dec >=0&rah >=18.5&rah< 18.75
--------------------------------------

Number of objects : 6698

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
4767|BD+31 3302                                                            |Star                           |18 35 41.6025796032 +31 12 28.719469584|059.9109924394706 +16.7692750813894| -2.503 -10.250   |9.61     |K2              |    ~     ~    
4768|BD+31 3309                                                            |Double or Multiple Star        |18 37 28.6027 +31 12 07.980            |060.0549494 +16.4137310            |  21.804 23.472   |9.33     |F8              |    ~     ~    
4769|BD+31 3311                                                            |Star                           |18 37 56.2513684680 +31 34 25.469890464|060.4523863371486 +16.4626701417216|   -2.696 5.958   |8.96     |A5              |    ~     ~    
4770|HD 172269                                                             |Star                           |18 37 57.1414556928 +31 19 00.276038976|060.2054899606978 +16.3628350488053|   -1.164 0.790   |7.52     |G5              |    ~     ~    
4771|BD+31 3314                                                            |Star                           |18 38 01.1165652480 +31 17 24.948217176|060.1855098839102 +16.3397288075970|    1.602 4.609   |9.27     |A2              |    ~     ~    
4772|BD+31 3315                                                            |Star                           |18 38 15.0051395424 +31 21 55.074556188|060.2773675442752 +16.3223185921082|-20.674 -11.995   |9.03     |A2              |    ~     ~    
4773|BD+31 3318                                                            |Star                           |18 38 33.8113255656 +31 41 23.015789340|060.6167336072234 +16.3829397727583| 42.817 -20.335   |8.97     |G0              |    ~     ~    
4774|HD 172396                                                             |Star                           |18 38 41.6864166768 +31 09 29.574903132|060.1152408887414 +16.1559312490508|   3.640 -7.338   |8.44     |A0              |    ~     ~    
4775|HD 172395                                                             |Star                           |18 38 42.2478221232 +31 26 28.941660528|060.3889094884996 +16.2613979275570| -0.265 -23.953   |7.87     |K2              |    ~     ~    
4776|HD 172672                                                             |Star                           |18 40 07.6516724088 +31 39 31.489647300|060.7180388768080 +16.0632092516284| 13.819 -28.725   |8.19     |K               |    ~     ~    
4777|BD+31 3326                                                            |Spectroscopic Binary           |18 40 27.7881471240 +31 42 43.160137200|060.7975163364718 +16.0174087892842|   1.050 18.091   |9.98     |G0              |    ~     ~    
4778|HD 172958                                                             |Star                           |18 41 41.3115616992 +31 37 03.402903360|060.8102500279689 +15.7403822233165|    8.213 6.164   |6.416    |B8V             |    ~     ~    
4779|BD+31 3338                                                            |Star                           |18 42 33.6128469120 +31 25 34.599961488|060.7008725831111 +15.4953900226482|   3.849 -6.665   |9.85     |A5              |    ~     ~    
4780|BD+31 3344                                                            |Star                           |18 43 02.2816047360 +32 00 49.056572988|061.3042819050540 +15.6273180939343|  -5.690 -5.698   |8.26     |K5              |    ~     ~    
4781|BD+31 3346                                                            |Star                           |18 43 20.3628670896 +31 31 31.563464844|060.8622425435742 +15.3803415560450|   2.258 -6.707   |9.62     |A2              |    ~     ~    
4782|BD+31 3347A                                                           |High Proper Motion Star        |18 43 43.535907 +31 40 54.27034        |061.044708259 +15.364831548        |    -43.3 -40.6   |9.63     |K2V             |    ~     ~    
4783|BD+31 3347B                                                           |High Proper Motion Star        |18 43 43.590171 +31 40 53.82250        |061.044666296 +15.364606030        |    -43.3 -40.6   |10.13    |K4V             |    ~     ~    
4784|HD 173417                                                             |High Proper Motion Star        |18 43 51.5918763792 +31 55 35.808019104|061.2904559527054 +15.4329651682824|-32.527 -125.960  |5.682    |F1III-IV        |    ~     ~    
4785|BD+31 3350                                                            |Star                           |18 44 03.3898573344 +31 22 54.601289112|060.7863302551318 +15.1837498798318|   -4.266 0.912   |9.36     |F5              |    ~     ~    
4786|HD 173450                                                             |Star                           |18 44 03.6776452704 +31 27 55.456134264|060.8665669418569 +15.2152098896779| -4.311 -12.309   |8.07     |G5              |    ~     ~    
4787|BD+31 3353                                                            |Star                           |18 44 49.9785500712 +31 59 12.351371460|061.4306330400269 +15.2657830387616|-18.621 -35.072   |9.87     |K0              |    ~     ~    
4788|HD 172116                                                             |Star                           |18 37 08.6349878256 +30 42 49.115339712|059.5554617513066 +16.2950397909527|   2.716 -1.625   |7.94     |G5              |    ~     ~    
4789|BD+30 3252                                                            |Star                           |18 38 27.9262956360 +30 53 11.376308652|059.8341704370130 +16.0981253475971| -10.723 28.954   |9.26     |K5              |    ~     ~    
4790|HD 172362                                                             |Star                           |18 38 35.4996821616 +30 45 37.167366384|059.7235037578461 +16.0250271514898|   5.561 -3.851   |9.04     |A               |    ~     ~    
4791|BD+30 3254                                                            |Double or Multiple Star        |18 38 35.047 +30 43 20.16              |059.686256 +16.012018              |      -1.5 16.4   |9.753    |F0              |    ~     ~    
4792|HD 172631                                                             |Star                           |18 40 01.9245862848 +30 50 58.093629288|059.9320658137024 +15.7732751775382| -13.674 34.082   |6.400    |K0              |    ~     ~    
4793|BD+30 3269                                                            |Star                           |18 41 13.9561646112 +30 51 22.776253776|060.0414459506754 +15.5380255840079|   5.632 -6.462   |9.63     |A2              |    ~     ~    
4794|BD+30 3270                                                            |Star                           |18 41 14.7688790016 +30 47 58.208815104|059.9881867660720 +15.5134461857635|   4.783 13.734   |9.01     |F0              |    ~     ~    
4795|BD+30 3278                                                            |High Proper Motion Star        |18 42 45.7965381432 +30 37 00.052891320|059.9442956921572 +15.1420002886572|  64.356 90.374   |9.95     |G0              |    ~     ~    
