C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:12:37

Vmag< 11&dec >=0&rah >=17.0&rah< 17.25
--------------------------------------

Number of objects : 3887

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type      |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------------|---------------
3673|TYC 2065-726-1                                                        |Star                           |17 12 31.7105610120 +25 24 15.245292600|047.2564862031468 +32.1340668505166|   0.981 -9.318    |10.64    |~                    |    ~     ~    
3674|TYC 2065-1307-1                                                       |Star                           |17 14 35.5147674360 +25 21 30.180891096|047.3691807966702 +31.6756347659586|  -12.941 7.926    |10.39    |~                    |    ~     ~    
3675|TYC 2065-1890-1                                                       |Star                           |17 14 37.3372295040 +24 50 39.668497620|046.7965185204956 +31.5133197964897|  -2.636 -1.317    |10.87    |~                    |    ~     ~    
3676|TYC 2067-189-1                                                        |Star                           |17 00 55.8037115760 +26 54 31.332307644|048.1032650424663 +35.0562457505673| -5.790 -13.470    |10.80    |~                    |    ~     ~    
3677|TYC 2068-172-1                                                        |Star                           |17 07 50.7489536880 +26 22 03.749856060|047.9894740329296 +33.4215938788232|   1.841 13.774    |10.90    |~                    |    ~     ~    
3678|TYC 2068-1108-1                                                       |Star                           |17 05 06.3005388192 +27 59 47.590897164|049.6787252069746 +34.4514405115927|  -19.956 0.611    |9.99     |~                    |    ~     ~    
3679|TYC 2069-43-1                                                         |High Proper Motion Star        |17 14 57.0158683944 +28 05 01.092913764|050.4756132132209 +32.3815527351337|-27.371 -47.622    |10.50    |~                    |    ~     ~    
3680|BD+28 2691                                                            |Double or Multiple Star        |17 12 25.697 +28 02 15.15              |050.243096 +32.904382              |     -9.9 -74.9    |9.84     |~                    |    ~     ~    
3681|TYC 2069-1013-1                                                       |Star                           |17 10 26.3403538152 +26 51 21.026464812|048.7443887630519 +33.0028853384115|-10.150 -12.265    |10.95    |~                    |    ~     ~    
3682|TYC 2071-19-1                                                         |Spectroscopic Binary           |17 01 22.2147245448 +29 58 30.617907060|051.7744534141722 +35.7327607649532|   7.166 49.747    |10.82    |~                    |    ~     ~    
3683|TYC 2071-1130-1                                                       |High Proper Motion Star        |17 01 11.513 +28 47 52.05              |050.357204 +35.487508              |     -86.5 76.4    |10.95    |~                    |    ~     ~    
3684|TYC 2073-859-1                                                        |Star                           |17 12 00.3961675344 +28 57 41.903604936|051.2768933015707 +33.2391332099222| 15.087 -27.268    |10.10    |~                    |    ~     ~    
3685|TYC 2073-1179-1                                                       |Star                           |17 14 50.0002157736 +28 48 36.631982088|051.2968226647139 +32.6023252348606|  -0.256 -4.182    |10.88    |~                    |    ~     ~    
3686|TYC 2073-1624-1                                                       |Star                           |17 11 24.9007101864 +29 07 08.014008648|051.4185551652299 +33.4047713021980|  -4.939 20.560    |10.72    |~                    |    ~     ~    
3687|TYC 2591-506-1                                                        |Star                           |17 14 20.9472971568 +30 59 10.741535772|053.7726641825068 +33.2569495266974|  -3.862 -1.225    |10.95    |M2e                  |    ~     ~    
3688|TYC 2591-1745-1                                                       |Star                           |17 10 55.4513662584 +31 18 01.583147988|053.9298948848560 +34.0434455240968| 18.899 -44.701    |10.54    |~                    |    ~     ~    
3689|BD+33 2815                                                            |Red Giant Branch star          |17 01 22.1934676968 +33 28 53.193002196|056.0156434916969 +36.4774256626888|-42.613 -95.616    |9.67     |~                    |    ~     ~    
3690|TYC 2594-1672-1                                                       |Star                           |17 04 44.1946290552 +32 18 22.477203432|054.7681591365909 +35.5487843327477|  -9.736 -9.760    |10.70    |~                    |    ~     ~    
3691|TYC 2595-130-1                                                        |Star                           |17 12 04.6268937048 +32 05 20.022652500|054.9236460886550 +33.9859590060578| -2.999 -15.861    |10.67    |~                    |    ~     ~    
3692|TYC 2595-198-1                                                        |Star                           |17 06 10.4818955160 +33 32 39.513838308|056.3331686752595 +35.5073855822645|   -1.813 0.625    |10.95    |~                    |    ~     ~    
3693|BD+33 2830                                                            |High Proper Motion Star        |17 07 25.2666582768 +33 03 48.233545272|055.8207815501766 +35.1547375861858| 25.728 -48.667    |9.75     |~                    |    ~     ~    
3694|BD+32 2853                                                            |Red Giant Branch star          |17 08 02.8978594824 +32 35 53.168713836|055.2990255709241 +34.9280748943441|-10.328 -34.511    |10.63    |~                    |    ~     ~    
3695|TYC 2595-1485-1                                                       |Star                           |17 08 28.1425272192 +33 20 01.688242452|056.1993598015104 +34.9960443615608|   -5.522 4.594    |10.16    |~                    |    ~     ~    
3696|TYC 2595-1489-1                                                       |Star                           |17 10 33.5632288632 +33 09 34.986538764|056.1031343470565 +34.5322917574829|  -0.832 -0.279    |10.36    |~                    |    ~     ~    
3697|TYC 2595-1491-1                                                       |Star                           |17 11 11.0340671064 +33 04 50.237162472|056.0431135808653 +34.3877031465313|  -2.257 -2.081    |10.69    |~                    |    ~     ~    
3698|TYC 2595-1500-1                                                       |Star                           |17 14 53.4087273864 +33 22 19.177032864|056.5879068332666 +33.6935487235724|  -1.387 -1.150    |10.89    |~                    |    ~     ~    
