C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:57:10

dec< 0&rah >=5.75&rah< 6.0&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 5111

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1597|TYC 5356-756-1                                                        |Star                                  |05 56 30.9829891704 -12 51 53.346205872|218.5191458384024 -17.9064975155759| -8.512 -35.177  |10.85    |~                |    ~     ~    |    1|  326.680   pc  |  -1.5795     +1.5795  |paral   |2020yCat.1350....0G
1598|TYC 5356-927-1                                                        |High Proper Motion Star               |05 58 07.6642808664 -11 27 25.167484620|217.3546783345489 -16.9563465524803| 122.601 99.156  |10.60    |~                |    ~     ~    |    1|  140.078   pc  |  -0.2786     +0.2786  |paral   |2020yCat.1350....0G
1599|TYC 5356-941-1                                                        |Star                                  |05 57 18.7631593608 -11 18 20.386919628|217.1226722954202 -17.0728860123280|  -9.316 -3.483  |10.95    |~                |    ~     ~    |    1|  419.428   pc  |  -3.4128     +3.4128  |paral   |2020yCat.1350....0G
1600|TYC 5356-1105-1                                                       |Star                                  |05 58 20.2755025560 -11 20 35.043313164|217.2697642090903 -16.8613130332079|   -6.261 4.698  |10.51    |~                |    ~     ~    |    1|  249.988   pc  |  -1.1061     +1.1061  |paral   |2020yCat.1350....0G
1601|TYC 5359-112-1                                                        |Star                                  |05 51 27.9440795520 -13 15 36.472708116|218.3587797846890 -19.1894718784318|    0.999 1.609  |10.52    |~                |    ~     ~    |    1|  481.788   pc  |  -5.4316     +5.4316  |paral   |2020yCat.1350....0G
1602|TYC 5359-136-1                                                        |Star                                  |05 51 06.1218814680 -13 21 27.764701776|218.4141052476424 -19.3103985503033|   -0.562 1.963  |10.51    |~                |    ~     ~    |    1|  508.156   pc  | -11.1552    +11.1552  |paral   |2020yCat.1350....0G
1603|TYC 5359-158-1                                                        |Star                                  |05 51 33.8347218720 -13 45 13.960528308|218.8456562416912 -19.3715483261047|  25.954 24.903  |10.21    |~                |    ~     ~    |    1|  277.886   pc  |  -6.4479     +6.4479  |paral   |2020yCat.1350....0G
1604|TYC 5359-202-1                                                        |Star                                  |05 50 48.1644399792 -13 35 36.268665936|218.6098612729105 -19.4739560876153|  -3.488 -3.095  |10.68    |~                |    ~     ~    |    1|  300.057   pc  |  -1.2605     +1.2605  |paral   |2020yCat.1350....0G
1605|TYC 5359-207-1                                                        |Spectroscopic Binary                  |05 52 09.7973370960 -13 16 38.064046908|218.4496500676457 -19.0420602308411| -18.135 13.141  |10.42    |~                |    ~     ~    |    1|  477.236   pc  |  -3.7124     +3.7124  |paral   |2020yCat.1350....0G
1606|TYC 5359-643-1                                                        |Star                                  |05 50 30.9067617672 -13 37 10.589525112|218.6046434088514 -19.5484323770446|  -6.044 -0.089  |10.73    |~                |    ~     ~    |    1|  311.721   pc  |  -1.0592     +1.0592  |paral   |2020yCat.1350....0G
1607|TYC 5359-1645-1                                                       |Star                                  |05 49 06.2638828032 -13 21 33.318247968|218.2026466154273 -19.7535475086884|  -1.474 11.946  |10.50    |~                |    ~     ~    |    1|  144.900   pc  |  -0.2834     +0.2834  |paral   |2020yCat.1350....0G
1608|TYC 5360-28-1                                                         |Star                                  |05 59 14.6579840016 -13 14 30.464443788|219.1697495847526 -17.4601196933038|  -4.144 -5.079  |10.84    |~                |    ~     ~    |    1|  658.805   pc  |  -6.9444     +6.9444  |paral   |2020yCat.1350....0G
1609|TYC 5360-55-1                                                         |Star                                  |05 52 42.5214100080 -13 58 26.261624640|219.1792604266101 -19.2087750857648| -7.384 -25.524  |10.72    |~                |    ~     ~    |    1|  765.052   pc  |  -8.3699     +8.3699  |paral   |2020yCat.1350....0G
1610|TYC 5360-176-1                                                        |Spectroscopic Binary                  |05 53 59.4514724280 -13 31 40.110391236|218.8851654883029 -18.7411780955745| -10.012 -3.978  |10.87    |~                |    ~     ~    |    1|  576.602   pc  | -16.3575    +16.3575  |paral   |2020yCat.1350....0G
1611|TYC 5360-418-1                                                        |Star                                  |05 53 14.2107323736 -13 17 31.895213676|218.5784513602578 -18.8105255560611|   -0.126 3.780  |10.75    |~                |    ~     ~    |    1|  665.203   pc  |  -7.5667     +7.5667  |paral   |2020yCat.1350....0G
1612|TYC 5360-462-1                                                        |Star                                  |05 57 05.4024443448 -13 34 10.946640504|219.2541221998685 -18.0729249538864|   -2.478 5.890  |10.93    |~                |    ~     ~    |    1|  350.656   pc  |  -1.8198     +1.8198  |paral   |2020yCat.1350....0G
1613|TYC 5360-495-1                                                        |Star                                  |05 54 41.7026735328 -13 54 54.236448540|219.3321923813868 -18.7452738329282|   -5.971 5.696  |10.90    |~                |    ~     ~    |    1|  227.010   pc  |  -0.6905     +0.6905  |paral   |2020yCat.1350....0G
1614|TYC 5360-518-1                                                        |Star                                  |05 52 24.3038103480 -13 36 16.122267684|218.7906587479692 -19.1238144236198|  6.647 -13.123  |10.56    |~                |    ~     ~    |    1|  596.161   pc  |  -4.6203     +4.6203  |paral   |2020yCat.1350....0G
1615|TYC 5360-582-1                                                        |Star                                  |05 54 38.8072945200 -13 21 27.975752172|218.7915452677518 -18.5255864532924|  -1.577 -1.497  |10.75    |~                |    ~     ~    |    1|  663.658   pc  |  -7.1352     +7.1352  |paral   |2020yCat.1350....0G
1616|TYC 5360-1025-1                                                       |Star                                  |05 56 09.2660494200 -14 01 36.747176592|219.5936182863251 -18.4687411040633|  -1.835 -4.616  |10.85    |~                |    ~     ~    |    1|  461.872   pc  |  -3.1146     +3.1146  |paral   |2020yCat.1350....0G
1617|TYC 5360-1104-1                                                       |Star                                  |05 55 26.1087905784 -13 41 29.181706224|219.1955019331178 -18.4893161230731|   -2.773 0.780  |10.94    |~                |    ~     ~    |    1|  659.500   pc  |  -6.9590     +6.9590  |paral   |2020yCat.1350....0G
1618|BD-14 1294                                                            |Star                                  |05 57 54.0860180952 -14 03 40.080822192|219.8105008399245 -18.0968774097263|   -2.027 1.633  |10.57    |~                |    ~     ~    |    1|  637.389   pc  |  -7.7190     +7.7190  |paral   |2020yCat.1350....0G
1619|HD 39349                                                              |Star                                  |05 51 22.7562832128 -16 51 42.168143844|221.8533480110775 -20.6658460845311|   0.827 -1.310  |9.71     |A3III            |    ~     ~    |    1|  401.849   pc  |  -2.3576     +2.3576  |paral   |2020yCat.1350....0G
1620|HD 39070                                                              |Double or Multiple Star               |05 49 36.54255 -14 29 01.1989          |219.34700287 -20.10267141          |  -20.22 -47.84  |5.49     |G8III            |    ~     ~    |    0|                |                       |        |                   
1621|BD-14 1252                                                            |Star                                  |05 49 58.3289787744 -14 36 11.394003024|219.5012939191488 -20.0710017136935|   -0.701 5.559  |9.36     |M0               |    ~     ~    |    1|  878.040   pc  | -12.2582    +12.2582  |paral   |2020yCat.1350....0G
1622|BD-14 1255                                                            |Double or Multiple Star               |05 50 23.174 -14 37 45.87              |219.570156 -19.990149              |    -21.8 -25.0  |9.1      |F8               |    ~     ~    |    0|                |                       |        |                   
1623|BD-14 1257                                                            |Star                                  |05 50 43.0174419216 -14 11 05.713206648|219.1733453840214 -19.7357826074002|   -7.798 5.507  |9.92     |F0               |    ~     ~    |    1|  249.097   pc  |  -3.6051     +3.6051  |paral   |2020yCat.1350....0G
1624|HD 39010                                                              |Star                                  |05 49 10.6115445024 -14 57 20.712690684|219.7617553366867 -20.3896684869186| -1.319 -17.296  |9.20     |F0V              |    ~     ~    |    1|  298.071   pc  | -13.0071    +13.0071  |paral   |2020yCat.1350....0G
1625|HD 39084                                                              |Star                                  |05 49 40.8326078112 -15 27 17.136295308|220.3013742616310 -20.4795555805076|  -3.113 -7.775  |8.98     |G6/8IV           |    ~     ~    |    1|  599.520   pc  |  -5.6430     +5.6430  |paral   |2020yCat.1350....0G
1626|HD 39162                                                              |High Proper Motion Star               |05 50 00.3367756800 -15 26 54.759687072|220.3288921617138 -20.4053304957740| 23.395 104.850  |7.95     |F5V              |    ~     ~    |    1|  105.893   pc  |  -0.5326     +0.5326  |paral   |2020yCat.1350....0G
1627|BD-15 1185                                                            |Star                                  |05 50 26.8001364120 -15 30 06.434296848|220.4264545161241 -20.3294230340296|    1.031 1.795  |8.86     |M0               |    ~     ~    |    1| 1018.537   pc  | -20.7484    +20.7484  |paral   |2020yCat.1350....0G
