C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:48:06

Vmag< 11&dec< 0&rah >=19.75&rah< 20.0
-------------------------------------

Number of objects : 4909

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
3684|HD 188116                                                             |Eclipsing Binary                      |19 55 34.3017308496 -45 34 14.171381184|353.8001196912850 -29.8480088323207| -22.911 -4.330   |9.94     |F5V            |    ~     ~    
3685|HD 188379                                                             |Star                                  |19 56 51.2642054352 -45 47 21.908937336|353.5929820102801 -30.1046834971481|   7.502 -0.659   |9.23     |K1III          |    ~     ~    
3686|HD 188392                                                             |Star                                  |19 56 58.0653348648 -45 48 59.869301472|353.5655726440898 -30.1285286100865| 16.784 -33.296   |8.80     |F6/7IV         |    ~     ~    
3687|HD 188555                                                             |High Proper Motion Star               |19 57 45.2502055536 -45 49 39.484664256|353.5780718876247 -30.2655553155349| 44.874 -59.659   |8.65     |F2IV/V         |    ~     ~    
3688|HD 188815                                                             |High Proper Motion Star               |19 58 58.5412085160 -46 05 16.960543980|353.3176750467189 -30.5154143510183|  78.948 36.485   |7.50     |F5V            |    ~     ~    
3689|CD-46 13316                                                           |Star                                  |19 59 31.6317354888 -46 11 50.221777452|353.2088268810788 -30.6262119148028| 11.256 -40.092   |10.309   |F8             |    ~     ~    
3690|CD-45 13524                                                           |Double or Multiple Star               |19 56 42.9346783320 -45 36 40.684755816|353.7916240992776 -30.0520879480381|   9.508 -2.391   |10.342   |~              |    ~     ~    
3691|CD-46 13307                                                           |Star                                  |19 58 06.4615816872 -45 54 09.512789544|353.5033890277306 -30.3380549301910|   3.180 -5.601   |9.97     |~              |    ~     ~    
3692|CD-45 13515                                                           |Star                                  |19 56 05.4892335672 -44 47 27.109055976|354.7038572335391 -29.8067426746785|  -1.044 -7.954   |10.93    |~              |    ~     ~    
3693|CD-46 13319                                                           |Star                                  |19 59 36.4581638472 -45 51 31.927373280|353.6000161623465 -30.5893020703872|  6.950 -13.594   |10.57    |~              |    ~     ~    
3694|HD 187784                                                             |Spectroscopic Binary                  |19 53 35.0813595168 -44 08 57.830528184|355.3376597388094 -29.2523409505691|   5.545 -7.948   |9.42     |G8/K1(III)     |    ~     ~    
3695|HD 188246                                                             |Star                                  |19 56 05.2336520304 -44 00 43.961608080|355.5865309603458 -29.6692967206016|   5.298 -6.776   |7.157    |B8/9V          |    ~     ~    
3696|HD 188554                                                             |Star                                  |19 57 37.3579146648 -44 18 19.045917108|355.3097722114430 -29.9919209447732|   5.143 -7.649   |10.10    |F3IV/V         |    ~     ~    
3697|HD 188605                                                             |Star                                  |19 57 50.9350095840 -44 26 37.231791324|355.1603091797000 -30.0554748153225|  -6.215 19.798   |9.71     |F6V            |    ~     ~    
3698|HD 188814                                                             |Star                                  |19 58 51.7348737696 -44 32 43.627832988|355.0795065801522 -30.2507480600632|  3.790 -23.576   |9.93     |K1(III)        |    ~     ~    
3699|HD 188868                                                             |Star                                  |19 59 07.2909869520 -44 00 38.900381832|355.6984732479414 -30.2061686445702|   6.445 -4.006   |10.20    |F0V            |    ~     ~    
3700|CD-44 13611                                                           |Star                                  |19 55 17.3412340704 -44 11 23.752803984|355.3558355942340 -29.5602304815775|   3.766 -7.394   |9.923    |~              |    ~     ~    
3701|[SGR85] 284-1                                                         |Star                                  |19 57 50.9 -44 26 37                   |355.1604 -30.0554                  |            ~ ~   |9.76     |~              |    ~     ~    
3702|[SGR85] 284-3                                                         |Star                                  |19 58 51.7 -44 32 42                   |355.0800 -30.2506                  |            ~ ~   |9.90     |~              |    ~     ~    
3703|[SGR85] 284-4                                                         |Star                                  |19 57 37.4 -44 18 18                   |355.3101 -29.9920                  |            ~ ~   |10.01    |~              |    ~     ~    
3704|CD-44 13618                                                           |Star                                  |19 55 48.6540116736 -44 23 58.845884460|355.1375274122382 -29.6894662547045| -10.080 -7.807   |10.843   |~              |    ~     ~    
3705|CD-44 13623                                                           |Star                                  |19 56 07.9168761648 -44 31 21.343639836|355.0097378551008 -29.7674114411553|    8.136 3.545   |10.467   |~              |    ~     ~    
3706|TYC 7946-630-1                                                        |Star                                  |19 59 20.4814881192 -44 24 47.574963504|355.2469880604291 -30.3129782599643| 15.801 -17.267   |10.003   |~              |    ~     ~    
3707|TYC 8391-677-1                                                        |High Proper Motion Star               |19 58 53.1806327880 -45 05 24.715138344|354.4579305465636 -30.3442507989138| 29.544 -49.688   |10.697   |~              |    ~     ~    
