C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:52:00

Vmag< 11&dec< 0&rah >=2.0&rah< 2.25
-----------------------------------

Number of objects : 2448

 #  |            identifier             |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|-----------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
858 |HD 12753                           |Star                                  |02 04 43.4605170648 -14 05 09.523419684|179.2439264209067 -68.5041684451017|  13.001 -8.517   |9.740    |F0V            |    ~     ~    
859 |HD 12863                           |Star                                  |02 05 44.7216262488 -14 08 01.966144920|179.7765248078932 -68.3453562256186| 23.452 -11.024   |8.59     |K3III          |    ~     ~    
860 |BD-14 384                          |High Proper Motion Star               |02 04 08.6201341296 -13 34 05.049598044|177.9296008542951 -68.2722730307579| 104.453 36.543   |10.53    |~              |    ~     ~    
861 |BD-13 372                          |Star                                  |02 04 08.9957917704 -12 51 51.706068588|176.5354612271412 -67.7996793298335|   30.824 2.946   |10.520   |~              |    ~     ~    
862 |BD-13 373                          |Star                                  |02 04 31.7680950216 -12 24 13.675345200|175.8178529920818 -67.4176159660284|-35.892 -19.610   |10.58    |~              |    ~     ~    
863 |BD-13 374                          |Star                                  |02 04 34.5864144720 -12 43 20.408104056|176.4466537476219 -67.6269095673335|   8.666 -0.425   |10.313   |~              |    ~     ~    
864 |BD-14 389                          |Star                                  |02 05 22.0499788968 -13 56 04.285283892|179.2038984970617 -68.2872367036559|  26.175 31.739   |10.17    |~              |    ~     ~    
865 |BD-13 376                          |Star                                  |02 05 25.4574591624 -13 03 07.023364200|177.4537484535400 -67.6963989182243|   49.014 5.919   |10.987   |~              |    ~     ~    
866 |BD-13 377                          |Double or Multiple Star               |02 05 30.184248 -12 49 58.57716        |177.060914544 -67.535289747        |    -23.1 -42.3   |10.05    |~              |    ~     ~    
867 |BD-14 390                          |Star                                  |02 05 34.0659674280 -14 16 44.203623060|180.0052243251882 -68.4711095978939|   8.710 -2.034   |10.561   |~              |    ~     ~    
868 |HD 12703                           |Double or Multiple Star               |02 04 06.97203 -12 18 21.4484          |175.45206954 -67.42335250          |   10.47 -13.00   |8.78     |F3/5V          |    ~     ~    
869 |BD-14 392                          |Star                                  |02 05 50.1022716000 -14 10 39.010512360|179.9051230833985 -68.3565265564385|  19.883 -0.369   |10.29    |~              |    ~     ~    
870 |HD 12931                           |Star                                  |02 06 21.7647077280 -12 03 50.648189832|175.9738628152660 -66.8587182277862| -5.335 -11.610   |9.567    |A8V            |    ~     ~    
871 |BD-13 381                          |High Proper Motion Star               |02 06 23.4479594664 -12 19 57.432236304|176.4865171102836 -67.0372444630279|-42.808 -102.030  |9.442    |G0             |    ~     ~    
872 |BD-13 382                          |Spectroscopic Binary                  |02 07 08.3164668816 -12 48 00.231792156|177.6916646013424 -67.2172154735938|-31.209 -27.894   |9.53     |F8             |    ~     ~    
873 |HD 13142                           |High Proper Motion Star               |02 08 16.1365407384 -12 20 08.993042304|177.2823081151043 -66.7015426129368|  58.636 -6.906   |9.16     |G8III          |    ~     ~    
874 |BD-13 392                          |Star                                  |02 09 50.5152494616 -13 12 29.954795004|179.5940276059688 -66.9881162913670|  21.421 11.317   |9.20     |K5             |    ~     ~    
875 |HD 13406                           |Star                                  |02 10 45.5715688728 -12 55 35.926845132|179.4157126890307 -66.6354894731829|  -9.204 -7.931   |7.43     |A3mA7-F3       |    ~     ~    
876 |HD 13432                           |Star                                  |02 11 01.1887931328 -12 26 58.882192476|178.6156107521452 -66.2758010890750|-24.288 -26.117   |9.442    |F3V            |    ~     ~    
877 |BD-13 403                          |Star                                  |02 11 19.8634364280 -12 49 36.777971280|179.4518046504778 -66.4647614726027|   20.752 3.524   |9.48     |K0             |    ~     ~    
878 |HD 13532                           |Star                                  |02 11 49.0954069752 -12 54 24.398641332|179.7964210338985 -66.4258161756435|  12.285 19.779   |8.89     |A9V            |    ~     ~    
879 |HD 13751                           |Star                                  |02 13 40.1868761736 -13 17 00.574874484|181.2373148131521 -66.3177776983364|  18.275 -3.052   |9.835    |A8V            |    ~     ~    
880 |BD-13 412                          |Star                                  |02 14 35.4715018536 -12 54 46.178408412|180.8764839902645 -65.9098756801896|    8.730 2.399   |9.47     |G5             |    ~     ~    
881 |BD-13 413                          |Star                                  |02 14 53.7193740288 -13 04 52.532555556|181.3115869971557 -65.9586318276331|   12.945 7.433   |9.71     |K7             |    ~     ~    
882 |BD-14 402                          |Variable Star                         |02 10 05.3310519816 -13 27 27.345013020|180.1829550893843 -67.1020969155518|    6.801 4.168   |9.33     |K7             |    ~     ~    
883 |HD 12957                           |High Proper Motion Star               |02 06 30.4302461400 -13 54 17.978970708|179.6226997453221 -68.0567924201561|  72.826 20.144   |8.92     |F0V            |    ~     ~    
884 |HD 13073                           |Star                                  |02 07 37.5417320376 -13 52 45.531460992|180.0331674716550 -67.8318723619165| -24.268 -9.522   |9.22     |F6V            |    ~     ~    
885 |HD 13114                           |Star                                  |02 07 58.4054084376 -14 15 04.182134868|180.9409535145646 -68.0019041392531|  31.254 -6.964   |8.30     |K2/3III        |    ~     ~    
886 |BD-14 395                          |Star                                  |02 07 22.4041300752 -14 00 22.404797388|180.1893979237530 -67.9599240310385|  0.791 -26.135   |10.333   |~              |    ~     ~    
887 |BD-13 384                          |Spectroscopic Binary                  |02 07 44.1443063304 -12 59 11.172153732|178.3012907889168 -67.2318914753234|   -5.876 7.851   |10.341   |~              |    ~     ~    
888 |BD-13 385                          |Star                                  |02 07 53.2283477640 -13 04 51.101235084|178.5478623928702 -67.2662882471023|   11.966 2.938   |10.494   |~              |    ~     ~    
889 |BD-14 399                          |Star                                  |02 08 02.8196951400 -13 46 52.749205392|180.0065264890314 -67.6905897340453|  31.154 29.907   |10.774   |~              |    ~     ~    
890 |BD-14 400                          |Star                                  |02 08 16.6148427816 -13 28 53.542649028|179.4982868525170 -67.4552319593656|   22.632 3.995   |10.892   |~              |    ~     ~    
891 |BD-13 387                          |Double or Multiple Star               |02 08 16.648 -12 37 08.44              |177.819972 -66.889471              |       14.6 1.0   |9.6      |~              |    ~     ~    
892 |BD-12 402                          |Double or Multiple Star               |02 10 02.8012975056 -12 02 25.315857816|177.4649235402921 -66.1812614581132|  33.427 -0.236   |10.354   |~              |    ~     ~    
893 |BD-14 404                          |Star                                  |02 12 00.1528389576 -13 57 56.323759716|181.9478203467554 -67.0596568748006|       4.5 -9.6   |10.654   |~              |    ~     ~    
894 |BD-14 405                          |Star                                  |02 12 05.5845786072 -13 37 40.495162044|181.3074213877887 -66.8323760085340|  11.471 11.558   |10.78    |~              |    ~     ~    
895 |BD-13 409                          |Star                                  |02 13 01.1490840672 -12 51 33.516914652|180.1738654996466 -66.1710856260139|  13.021 -9.096   |10.65    |~              |    ~     ~    
896 |BD-14 409                          |High Proper Motion Star               |02 13 10.3535085672 -13 57 26.882266032|182.3776558265856 -66.8309412700953|100.224 -14.714   |10.46    |~              |    ~     ~    
897 |BD-14 410                          |Star                                  |02 14 48.0942076656 -13 52 05.740585320|182.8092971821583 -66.4635846525422|   24.027 4.348   |10.68    |~              |    ~     ~    
898 |BD-13 396                          |Double or Multiple Star               |02 10 25.831 -13 07 56.84              |179.681951 -66.829702              |     56.1 -26.2   |10.29    |G5+K3(e)       |    ~     ~    
899 |V* FQ Cet                          |Eclipsing Binary                      |02 12 18.7283748888 -13 30 42.156993636|181.1625217057375 -66.7180393620823|153.711 -74.799   |10.60    |K1             |    ~     ~    
900 |BD-12 404                          |High Proper Motion Star               |02 10 47.0884559160 -12 01 20.904899052|177.7306921799353 -66.0352962782349|  53.513 -6.547   |10.21    |~              |    ~     ~    
901 |HD 12449                           |High Proper Motion Star               |02 01 50.9259062616 -09 45 40.267398204|169.9806461785932 -65.9714762600281|-48.849 -105.783  |8.92     |G8IV           |    ~     ~    
902 |HD 12379                           |High Proper Motion Star               |02 01 05.5398572856 -11 02 56.854894380|171.8069318805746 -67.0502869675389|  84.632 80.677   |7.82     |F7V            |    ~     ~    
903 |HD 12450                           |High Proper Motion Star               |02 01 48.4781647800 -12 00 29.130170544|173.8633109793689 -67.6182145584904|  77.905 17.673   |8.87     |G0V            |    ~     ~    
904 |HD 12460                           |Star                                  |02 01 54.0221880912 -11 49 18.946374132|173.5618507310200 -67.4702006735945|  2.162 -18.873   |8.05     |F5V            |    ~     ~    
905 |BD-10 422                          |Star                                  |02 03 05.2527800472 -09 55 15.158794836|170.7996276750093 -65.8875896163822|-31.244 -30.611   |10.29    |~              |    ~     ~    
906 |BD-11 387                          |High Proper Motion Star               |02 01 30.2349089736 -10 22 56.724366504|170.8505745729748 -66.4913068403389|107.804 -12.520   |9.92     |~              |    ~     ~    
