C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:24:19

Vmag< 11&dec< 0&rah >=10.25&rah< 10.5
-------------------------------------

Number of objects : 6864

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
2179|CD-36 6410                                                            |High Proper Motion Star        |10 27 53.2122784272 -36 57 22.948972920|273.5007828395847 +17.5799862903988| 33.152 -42.773   |9.72     |G2             |    ~     ~    
2180|HD 90907                                                              |Star                           |10 29 05.4563301408 -36 54 18.916384068|273.6831564722228 +17.7540986078304| -22.326 17.503   |8.13     |F2IV           |    ~     ~    
2181|HD 90938                                                              |Star                           |10 29 17.7092134704 -36 39 02.543916132|273.5737613612878 +17.9899515914584|   -6.902 4.101   |8.52     |A7V            |    ~     ~    
2182|CD-36 6432                                                            |Double or Multiple Star        |10 29 45.12240 -36 53 36.3408          |273.79299178 +17.83577797          |            ~ ~   |10.06    |F5             |    ~     ~    
2183|CD-36 6369                                                            |Star                           |10 25 29.0971314624 -36 44 59.285230116|272.9609182936752 +17.4875697793587|  -13.820 7.866   |10.05    |~              |    ~     ~    
2184|CD-35 6435                                                            |Star                           |10 27 11.1436931256 -36 30 42.230345220|273.1212820245368 +17.8745606309338| -16.271 10.515   |10.46    |~              |    ~     ~    
2185|CD-36 6420                                                            |Star                           |10 28 49.8379 -36 57 33.284            |273.6681808 +17.6804950            |-18.660 -14.149   |10.275   |~              |    ~     ~    
2186|CD-35 6404                                                            |Chemically Peculiar Star       |10 25 15.3936812808 -35 54 02.614122036|272.4245830743767 +18.1675370819155|   5.228 -4.102   |10.98    |Gwl            |    ~     ~    
2187|V* AC Ant                                                             |Mira Variable                  |10 21 32.7398202456 -34 39 32.336008056|271.0262642355565 +18.7644714494170|   -6.479 1.121   |10.82    |Me             |    ~     ~    
2188|NGC 3223                           NGC 3223                           |Emission-line galaxy           |10 21 35.0831008008 -34 16 00.504571368|270.7959516656057 +19.0906673972898|            ~ ~   |10.82    |~              |2.340 1.778    
2189|CD-33 6891                                                            |Star                           |10 21 25.1805512640 -34 30 56.886769224|270.9172404548583 +18.8670543122591|  -13.623 9.794   |9.97     |~              |    ~     ~    
2190|CPD-34 4064                                                           |Star                           |10 21 46.6994595024 -35 29 27.785761476|271.5677543837105 +18.1081764099663|  -25.339 1.469   |10.75    |~              |    ~     ~    
2191|CPD-34 4067                                                           |High Proper Motion Star        |10 22 18.0058229736 -34 56 44.450945523|271.3331857190312 +18.6173171257383|  57.658 -3.483   |10.84    |~              |    ~     ~    
2192|CD-35 6355                                                            |Star                           |10 22 19.3670919384 -36 08 47.574625668|272.0539503588969 +17.6309650999480|   8.606 -9.296   |10.40    |~              |    ~     ~    
2193|CD-35 6361                                                            |Star                           |10 22 36.4675376184 -35 44 18.984929964|271.8614944352795 +17.9999799588006| -12.413 11.554   |10.25    |~              |    ~     ~    
2194|CPD-35 4099                                                           |Star                           |10 22 44.1412535232 -36 01 33.112364376|272.0545893836695 +17.7776727238572| -20.841 13.845   |10.73    |~              |    ~     ~    
2195|CD-33 6915                                                            |Star                           |10 22 48.4504880304 -34 30 14.417389980|271.1583645641051 +19.0398911359875|   -7.333 7.606   |10.53    |~              |    ~     ~    
2196|CD-35 6369                                                            |Star                           |10 22 49.3449130944 -35 48 58.380435216|271.9453795331820 +17.9605843180497|  -25.023 9.878   |10.79    |~              |    ~     ~    
2197|CPD-34 4070                                                           |Star                           |10 22 59.3458137024 -34 56 40.949526048|271.4552638533950 +18.6983029454469|  -6.147 10.360   |10.61    |~              |    ~     ~    
2198|CD-35 6384                                                            |Star                           |10 23 54.6554226840 -36 09 17.450643960|272.3369337085416 +17.8047055485605|   -6.927 0.322   |10.94    |~              |    ~     ~    
2199|CD-35 6387                                                            |Star                           |10 23 59.5564712496 -36 22 27.013815480|272.4803245149095 +17.6323186323287|   -1.457 5.832   |9.98     |~              |    ~     ~    
2200|CD-35 6386                                                            |High Proper Motion Star        |10 24 00.9632565168 -35 40 55.186727376|272.0762847539904 +18.2079369489150| -35.034 38.488   |10.68    |~              |    ~     ~    
2201|CD-35 6390                                                            |Star                           |10 24 08.0859062928 -36 12 10.712553552|272.4045556319117 +17.7901751207231|  -3.446 -3.264   |10.70    |~              |    ~     ~    
2202|CD-35 6391                                                            |Star                           |10 24 10.3127664048 -35 58 59.656625508|272.2816720496187 +17.9763590710946| -20.178 -7.506   |10.69    |~              |    ~     ~    
2203|CD-35 6405                                                            |Star                           |10 25 15.7238523312 -36 33 34.149472884|272.8110554849405 +17.6209958651147|   -6.987 5.182   |10.56    |~              |    ~     ~    
2204|AKARI-IRC-V1 J1025163-350436                                          |Long-Period Variable Candidate |10 25 16.3301159952 -35 04 37.245066240|271.9419198734059 +18.8523973841439| -11.248 -0.724   |10.19    |~              |    ~     ~    
2205|CD-33 6949                                                            |Star                           |10 25 36.7523736720 -34 27 11.185890480|271.6331831007108 +19.4083325545253| -13.698 -1.431   |10.50    |~              |    ~     ~    
2206|CD-35 6411                                                            |Star                           |10 25 40.3655275944 -35 47 12.689770020|272.4315043159964 +18.3090878032095|   -1.852 7.634   |10.84    |~              |    ~     ~    
