C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:39:41

Vmag< 11&dec< 0&rah >=0.0&rah< 0.25
-----------------------------------

Number of objects : 2411

 #  |                              identifier                              |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type      |   ang. size   
----|----------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------------|---------------
1939|CD-57 34                                                              |Star                                |00 14 30.6148938432 -56 30 02.309221512|313.0990778333344 -59.8927178450951|   9.449 47.234    |10.12    |~                    |    ~     ~    
1940|CD-57 35                                                              |High Proper Motion Star             |00 14 48.4272090096 -56 36 36.081232092|312.9593328384911 -59.7993921498332| 17.770 -62.584    |10.50    |~                    |    ~     ~    
1941|CD-57 36                                                              |Star                                |00 14 51.3225884784 -57 07 02.414880264|312.6671024486057 -59.3141201849025|-15.190 -11.978    |10.58    |~                    |    ~     ~    
1942|CD-57 38                                                              |Star                                |00 14 54.7209426504 -56 40 53.508729756|312.8919567724740 -59.7348140712605|  -2.111 -5.974    |9.89     |~                    |    ~     ~    
1943|HD 225032                                                             |Pulsating Variable                  |00 02 42.9273011496 -56 46 53.565649860|315.9394243733054 -59.0993119186618|   16.943 1.328    |9.40     |A2III/IV             |    ~     ~    
1944|HD 225133                                                             |Star                                |00 03 39.8427204792 -57 09 52.057144008|315.4381047637118 -58.7887515966983|  25.031 -8.800    |8.29     |F6V                  |    ~     ~    
1945|CD-57 8943                                                            |Star                                |00 04 09.1979254872 -56 24 06.480414360|315.8477896285318 -59.5249772698574| 42.228 -12.488    |10.46    |~                    |    ~     ~    
1946|CPD-57 10423                                                          |Star                                |00 04 23.8797352824 -56 59 20.912121564|315.3776028445693 -58.9880121393385|   9.529 11.562    |10.376   |~                    |    ~     ~    
1947|HD 225268                                                             |Star                                |00 04 44.2306809072 -56 50 28.697563356|315.3944247568832 -59.1426850092671|  30.141 30.116    |7.77     |K0III                |    ~     ~    
1948|CD-57 8946                                                            |Spectroscopic Binary                |00 05 13.3513244136 -56 41 41.030821032|315.3730030997524 -59.3032636021343|   98.200 2.761    |10.153   |~                    |    ~     ~    
1949|HD 53                                                                 |Star                                |00 05 21.6654648504 -56 57 20.342724372|315.1613346855574 -59.0651860160844| 33.365 -11.459    |7.41     |A1Vs                 |    ~     ~    
1950|CPD-58 1                                                              |Star                                |00 06 38.5494547968 -57 23 06.978038640|314.5629506676062 -58.7199838643624| 11.678 -15.429    |10.27    |~                    |    ~     ~    
1951|CPD-58 2                                                              |High Proper Motion Star             |00 07 05.8244224968 -57 22 53.549733648|314.4539803345975 -58.7438003823833|  91.954 61.015    |10.62    |~                    |    ~     ~    
1952|HD 608                                                                |Star                                |00 10 15.9263997816 -57 30 54.149112576|313.5932973004661 -58.7528578857605| 33.063 -20.213    |8.41     |K0III                |    ~     ~    
1953|HD 750                                                                |High Proper Motion Star             |00 11 35.7941760624 -57 28 21.179180784|313.2889791334418 -58.8473854716368|135.190 -67.089    |9.08     |K1V                  |    ~     ~    
1954|HD 814                                                                |Star                                |00 12 19.7281723392 -57 30 21.532907628|313.0882035818306 -58.8444492691865| -2.638 -15.210    |10.09    |G3/5V                |    ~     ~    
1955|CD-58 22                                                              |High Proper Motion Star             |00 12 56.8994860080 -57 21 24.222211164|313.0176492044074 -59.0114869766509|   53.032 8.339    |10.34    |~                    |    ~     ~    
1956|HD 225033                                                             |Star                                |00 02 43.1106210384 -57 38 01.202529120|315.3456718821101 -58.3049656189860|-26.892 -15.042    |8.40     |G8III                |    ~     ~    
1957|HD 355                                                                |Star                                |00 08 07.6081105560 -57 51 48.892495248|313.9047578884213 -58.3324651548280|  -2.744 -4.024    |9.92     |G8/K0(III)           |    ~     ~    
1958|HD 870                                                                |High Proper Motion Star             |00 12 50.2492819896 -57 54 45.394533396|312.7374224329947 -58.4747530088724|-118.129 34.996    |7.226    |K0V                  |    ~     ~    
1959|CPD-58 8127                                                           |Star                                |00 03 21.0426933192 -58 13 04.672985052|314.8080155439996 -57.7877752967550|  43.423 13.481    |10.349   |~                    |    ~     ~    
