C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:41:30

Vmag< 11&dec< 0&rah >=6.25&rah< 6.5
-----------------------------------

Number of objects : 6536

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |      ang. size      
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------------
4589|TYC 8106-247-1                                                        |Star                                  |06 20 07.0148930760 -48 17 49.660868580|256.3270865466080 -24.9043030423768|   -0.122 6.532   |10.81    |~                   |    ~     ~          
4590|TYC 8106-431-1                                                        |Star                                  |06 18 45.2552185248 -47 53 09.525473628|255.8273756702956 -25.0291914756151|  -7.857 -4.400   |10.85    |~                   |    ~     ~          
4591|TYC 8106-612-1                                                        |Star                                  |06 18 33.6541354272 -48 04 22.891187460|256.0198702699674 -25.1042263170900| -3.772 -12.746   |10.58    |~                   |    ~     ~          
4592|TYC 8106-673-1                                                        |Star                                  |06 17 34.8835721760 -47 46 54.589562040|255.6649355902710 -25.1963887541546|  -6.089 14.760   |10.79    |~                   |    ~     ~          
4593|TYC 8106-1480-1                                                       |Star                                  |06 20 42.9764628984 -48 15 09.723182940|256.3054059757470 -24.7969149147564|    2.305 8.822   |10.743   |~                   |    ~     ~          
4594|TYC 8106-1506-1                                                       |Star                                  |06 21 34.0765068960 -48 04 18.750114516|256.1494079690792 -24.6158522690808|   8.846 22.028   |10.38    |~                   |    ~     ~          
4595|TYC 8106-1575-1                                                       |Star                                  |06 22 28.9446782520 -47 45 26.483683320|255.8550300052818 -24.3907997710751|   14.295 1.182   |10.68    |~                   |    ~     ~          
4596|TYC 8106-1585-1                                                       |Star                                  |06 22 08.2897303152 -47 45 14.284720116|255.8358566108716 -24.4460660982567|   6.610 20.688   |10.34    |~                   |    ~     ~          
4597|TYC 8107-988-1                                                        |Spectroscopic Binary                  |06 24 34.8815552088 -47 48 42.125273316|256.0087133280949 -24.0627369819135| -6.424 -13.176   |10.759   |~                   |    ~     ~          
4598|TYC 8107-1044-1                                                       |Star                                  |06 25 00.1065274296 -47 56 13.019340804|256.1608509571190 -24.0259414507079|   -4.342 6.081   |10.47    |~                   |    ~     ~          
4599|TYC 8107-1322-1                                                       |Spectroscopic Binary                  |06 23 11.6285785776 -48 04 14.343958056|256.2205645202935 -24.3520791686701|  -2.758 30.597   |10.99    |~                   |    ~     ~          
4600|TYC 8107-1502-1                                                       |Star                                  |06 25 17.0758170024 -48 22 23.997640440|256.6364840490018 -24.0893709849477|  -1.349 13.565   |10.85    |~                   |    ~     ~          
4601|TYC 8110-125-1                                                        |Star                                  |06 15 07.8777327672 -49 34 00.331564620|257.4961410378159 -25.9850194757236| -10.226 32.708   |10.74    |~                   |    ~     ~          
4602|TYC 8110-132-1                                                        |Star                                  |06 20 26.8823413176 -49 17 08.487258360|257.4021144023102 -25.0799229930396|   2.303 -3.294   |10.61    |~                   |    ~     ~          
4603|TYC 8110-141-1                                                        |Star                                  |06 18 36.4190 -49 48 50.090            |257.8978436 -25.4889101            |  1.723 -13.085   |10.860   |~                   |    ~     ~          
4604|TYC 8110-165-1                                                        |Star                                  |06 18 08.1374765064 -49 48 32.290552548|257.8741468728907 -25.5620513507714|    3.491 7.820   |10.97    |~                   |    ~     ~          
4605|TYC 8110-283-1                                                        |Star                                  |06 20 17.5244378496 -49 20 26.273683464|257.4548047315338 -25.1171771550307|   -0.467 2.769   |10.585   |~                   |    ~     ~          
4606|TYC 8110-427-1                                                        |Star                                  |06 19 33.3933174120 -49 40 32.878067484|257.7861340774153 -25.3088425238057|  10.428 -4.661   |10.861   |~                   |    ~     ~          
4607|TYC 8110-440-1                                                        |Star                                  |06 20 37.8730380816 -49 39 59.196357756|257.8190976656501 -25.1372902756333|  -6.081 14.672   |10.78    |~                   |    ~     ~          
