C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:04:20

Vmag< 11&dec >=0&rah >=21.25&rah< 21.5
--------------------------------------

Number of objects : 7064

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
5056|HD 202779                                                             |Spectroscopic Binary           |21 17 21.2946407256 +31 53 57.925709844|078.6697766805133 -12.0204275175181| 16.537 -13.876   |7.72     |G5IV              |    ~     ~    
5057|BD+31 4410                                                            |Star                           |21 18 45.7771762176 +31 44 25.626961788|078.7599726120449 -12.3474806055937|  -6.668 -1.803   |10.64    |K0                |    ~     ~    
5058|BD+31 4411                                                            |Star                           |21 18 46.8571974120 +31 50 13.062608952|078.8346758686640 -12.2842183198957|  -2.430 -7.473   |10.35    |K0                |    ~     ~    
5059|BD+31 4421                                                            |Star                           |21 20 27.6451258008 +32 04 33.348744192|079.2629222352429 -12.3792446680830|   6.000 -0.702   |8.93     |K0                |    ~     ~    
5060|BD+31 4426                                                            |Star                           |21 21 33.3130627680 +31 43 20.096634648|079.1644295741215 -12.7913255695916|   10.785 6.024   |9.42     |K2                |    ~     ~    
5061|BD+30 4372                                                            |Star                           |21 15 36.0371419464 +31 28 33.537461952|078.0928597251216 -12.0342986935647|  -8.152 -8.203   |10.04    |K2                |    ~     ~    
5062|BD+30 4373                                                            |Star                           |21 15 59.9770147752 +31 06 18.196573464|077.8726986162247 -12.3482162914274|   0.442 -1.387   |8.90     |K2                |    ~     ~    
5063|BD+30 4376                                                            |Star                           |21 16 11.4796619280 +31 17 29.638695876|078.0415138980031 -12.2519766714318|  -4.088 -5.694   |9.30     |F0                |    ~     ~    
5064|HD 202643                                                             |Star                           |21 16 19.1493544680 +31 21 27.265287672|078.1100931188351 -12.2272689533941|   1.997 -5.800   |8.14     |A2                |    ~     ~    
5065|HD 202747                                                             |Star                           |21 17 12.8474336832 +30 41 38.834124252|077.7442397306127 -12.8183492156564|  28.466 13.536   |8.49     |A0                |    ~     ~    
5066|HD 202813                                                             |Star                           |21 17 34.2903675888 +31 09 17.398955232|078.1440110126848 -12.5613944083103|   3.231 -2.834   |8.18     |A0                |    ~     ~    
5067|HD 202882                                                             |Double or Multiple Star        |21 18 00.0541797 +30 49 19.298946      |077.9583027172 -12.8553503114      |  -12.76 -11.13   |8.15     |A0                |0.0050  0.0    
5068|BD+30 4394                                                            |Star                           |21 17 59.7697748736 +31 21 47.299136688|078.3635488354939 -12.4859185198090| 10.416 -20.315   |9.59     |F2                |    ~     ~    
5069|BD+30 4396                                                            |Star                           |21 19 32.1618056832 +30 57 47.893027392|078.2948658535352 -12.9996239934594| -17.202 -8.654   |10.26    |G0                |    ~     ~    
5070|BD+30 4397                                                            |Star                           |21 19 37.5888493752 +30 40 58.149868116|078.0984412686618 -13.2056548487908|   4.925 -3.641   |10.99    |F8                |    ~     ~    
5071|BD+30 4398                                                            |Star                           |21 19 45.6240916128 +31 10 09.660125244|078.4827087483086 -12.8935585721496|  -6.689 -4.477   |9.22     |K0                |    ~     ~    
5072|BD+30 4400                                                            |Star                           |21 20 14.3476144128 +30 53 27.538059732|078.3467910894980 -13.1590216788882| -2.604 -13.263   |10.62    |K0                |    ~     ~    
5073|BD+30 4401                                                            |Spectroscopic Binary           |21 20 20.2993242864 +30 53 33.668989692|078.3630496307753 -13.1733446173515|  0.955 -10.363   |9.94     |F8                |    ~     ~    
5074|BD+30 4404                                                            |Star                           |21 20 51.2883180624 +31 20 52.772460072|078.7807060303849 -12.9409882172626|    3.270 3.562   |9.65     |F0                |    ~     ~    
5075|BD+30 4408                                                            |Star                           |21 21 38.0432925312 +31 25 37.457731200|078.9570789168082 -13.0071033774136|   29.812 9.464   |9.48     |G5                |    ~     ~    
5076|BD+30 4410                                                            |Spectroscopic Binary           |21 21 47.2232780856 +30 47 05.296402464|078.5021019745599 -13.4734032681349|    0.207 5.427   |8.45     |K5                |    ~     ~    
5077|BD+30 4412                                                            |Star                           |21 22 06.7069897368 +31 27 28.061502624|079.0520809847834 -13.0596408126058| -10.820 -0.282   |9.55     |K0                |    ~     ~    
5078|TYC 2703-1290-1                                                       |Star                           |21 22 09.5007403704 +30 40 26.833653840|078.4760960175918 -13.6074856697943|  -3.496 -4.507   |10.76    |K0                |    ~     ~    
5079|BD+29 4358                                                            |Star                           |21 15 08.3389908480 +30 26 58.471606464|077.2498097488604 -12.6548345674389|   13.426 1.866   |9.93     |K0                |    ~     ~    
5080|BD+29 4360                                                            |Star                           |21 15 19.5518226432 +30 14 09.867316056|077.1159845934307 -12.8285311893356|   2.177 -6.014   |10.07    |K5                |    ~     ~    
5081|BD+29 4365                                                            |Star                           |21 16 56.4489697704 +30 13 45.103814076|077.3526329281723 -13.0903331008500|   11.154 1.826   |9.53     |A3                |    ~     ~    
5082|HD 202883                                                             |Star                           |21 18 00.2909948208 +30 19 26.447435616|077.5842232270308 -13.1947497484337|   1.593 -4.859   |8.23     |B5                |    ~     ~    
5083|V* V2150 Cyg                                                          |Spectroscopic Binary           |21 18 10.8806281512 +30 35 21.597716292|077.8104882011341 -13.0421635089900|   2.127 -4.507   |8.11     |A0                |    ~     ~    
