C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:15:44

Vmag< 11&dec< 0&rah >=22.5&rah< 22.75
-------------------------------------

Number of objects : 2937

 #  |                              identifier                              |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
2335|CD-51 13330                                                           |Star                          |22 36 04.5437716512 -50 36 07.909205688|341.2437371916471 -55.2398520499510|  39.595 11.240   |10.605   |~               |    ~     ~    
2336|CD-50 13746                                                           |Star                          |22 38 30.0774895656 -50 09 23.150854836|341.5889936800754 -55.7966577953664|   16.950 1.155   |10.735   |~               |    ~     ~    
2337|CD-51 13338                                                           |Star                          |22 38 40.0911646104 -51 07 30.414207180|340.0884360292214 -55.3286496015289|  -5.991 -0.666   |10.921   |~               |    ~     ~    
2338|CD-50 13748                                                           |Star                          |22 38 48.3097050240 -50 15 56.359384272|341.3774820625786 -55.7843087652085|  10.723 -6.817   |10.419   |~               |    ~     ~    
2339|CD-50 13761                                                           |Star                          |22 40 10.5116210424 -50 04 37.121692116|341.4721847039092 -56.0687534802635| 32.971 -29.624   |10.69    |~               |    ~     ~    
2340|CD-51 13347                                                           |Star                          |22 40 33.8272259136 -50 37 07.122805464|340.5831664355600 -55.8461184296377|   -8.565 0.011   |10.99    |~               |    ~     ~    
2341|CD-51 13349                                                           |Star                          |22 41 34.6849037520 -51 04 28.336089468|339.7428168648214 -55.7445808216810|  3.491 -11.389   |9.91     |~               |    ~     ~    
2342|CD-49 13933                                                           |Star                          |22 41 09.7301224560 -49 06 56.538885348|342.8360631152076 -56.6846462449151| -12.966 -9.939   |10.94    |~               |    ~     ~    
2343|CD-50 13765                                                           |Star                          |22 41 08.6803846584 -50 05 29.908495104|341.3083323505363 -56.1954947683496|  -3.655 -1.921   |10.60    |~               |    ~     ~    
2344|CD-51 13351                                                           |Star                          |22 41 46.8392952024 -50 23 09.891060252|340.7606804155128 -56.1318940386370|  11.479 -6.032   |10.33    |~               |    ~     ~    
2345|CD-51 13357                                                           |Star                          |22 42 43.5550889088 -50 41 20.867485092|340.1563983680294 -56.1018192946860|  0.549 -22.637   |10.47    |~               |    ~     ~    
2346|CD-51 13367                                                           |Star                          |22 44 09.1787035896 -51 00 22.355399376|339.4598716499606 -56.1232314150150|   4.648 -3.199   |10.394   |~               |    ~     ~    
2347|CD-51 13369                                                           |Star                          |22 44 24.8753943048 -51 04 42.467972268|339.3109520481580 -56.1187301815357|   4.170 -2.395   |10.305   |~               |    ~     ~    
2348|TYC 8449-623-1                                                        |Star                          |22 39 24.7847839944 -49 35 06.484058556|342.3478396958927 -56.2064370943590|    1.900 3.829   |10.82    |~               |    ~     ~    
2349|TYC 8449-1118-1                                                       |Star                          |22 39 13.1017057536 -49 36 40.032717804|342.3349124773864 -56.1662003658791|  18.886 -0.247   |10.86    |~               |    ~     ~    
2350|TYC 8452-140-1                                                        |Star                          |22 32 15.6125226912 -50 57 18.087751620|341.2212119273100 -54.5412067114514| -1.482 -11.643   |10.712   |~               |    ~     ~    
2351|TYC 8452-402-1                                                        |Star                          |22 37 09.1057584168 -50 11 48.094365444|341.7163893082577 -55.5889310453938|   9.376 -6.596   |10.963   |~               |    ~     ~    
2352|TYC 8452-1081-1                                                       |Star                          |22 35 47.2493074824 -50 24 24.162141708|341.5820550915294 -55.2960786354570|   24.088 2.728   |10.44    |~               |    ~     ~    
2353|TYC 8452-1147-1                                                       |High Proper Motion Star       |22 32 51.4941067416 -50 45 19.550626092|341.4444466994669 -54.7202265302347| 37.745 -35.270   |10.875   |~               |    ~     ~    
2354|CD-49 13936                                                           |Star                          |22 41 22.5644193864 -48 34 33.876223140|343.6680173739605 -56.9766377945237|  -0.039 -1.881   |10.82    |~               |    ~     ~    
2355|HD 215022                                                             |Star                          |22 43 02.2536954384 -47 44 51.904279968|344.7745322455336 -57.6134089298289| 37.734 -18.226   |8.79     |F5/6V           |    ~     ~    
2356|CD-48 14291                                                           |High Proper Motion Star       |22 43 23.7340585008 -47 58 10.727823324|344.3567655610834 -57.5614449540505| -50.671 -6.974   |10.19    |F8              |    ~     ~    
2357|CD-49 13937                                                           |Star                          |22 41 29.0752552656 -48 27 08.800561512|343.8517051654912 -57.0515159122472|  17.082 25.598   |10.27    |F8              |    ~     ~    
2358|TYC 8449-885-1                                                        |Star                          |22 42 10.7649668184 -48 04 33.740227524|344.3618570073982 -57.3319600410878|-17.664 -15.733   |10.80    |~               |    ~     ~    
2359|TYC 8449-721-1                                                        |High Proper Motion Star       |22 41 43.9582667736 -48 35 11.870546568|343.5990494323238 -57.0233079564894|  58.682 29.076   |10.80    |~               |    ~     ~    
2360|TYC 8449-933-1                                                        |Star                          |22 40 05.4301906680 -48 43 51.455219088|343.6045904282926 -56.7161320751642|   6.148 -6.539   |10.283   |~               |    ~     ~    
2361|HD 213303                                                             |High Proper Motion Star       |22 31 28.6430781456 -50 56 15.795506976|341.3495144669587 -54.4414577321388|  57.923 -1.545   |7.04     |G6/8IV          |    ~     ~    
2362|CD-51 13303                                                           |Star                          |22 31 19.4581716072 -51 03 40.636580076|341.1831852754799 -54.3609931897954|  17.197 23.802   |10.60    |~               |    ~     ~    
