C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:50:29

Vmag< 11&dec >=0&rah >=14.25&rah< 14.5
--------------------------------------

Number of objects : 2331

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------
2135|TYC 318-246-1                                                         |Star                           |14 28 57.5088272544 +01 24 05.338375416|349.2988277662882 +55.2387446847864|    3.758 6.347    |10.69    |~                   |    ~     ~    
2136|TYC 318-324-1                                                         |Star                           |14 29 27.5484220752 +01 43 46.772512608|349.8398207451829 +55.4079110704618| -17.138 -9.557    |10.53    |~                   |    ~     ~    
2137|TYC 318-362-1                                                         |Star                           |14 28 14.8162767576 +01 13 01.684096392|348.8522635161641 +55.2115495282463| -16.618 -9.745    |10.79    |~                   |    ~     ~    
2138|TYC 318-373-1                                                         |Star                           |14 27 52.5752519304 +00 57 01.405762272|348.4299860917438 +55.0650001933449|  -43.726 5.768    |10.68    |~                   |    ~     ~    
2139|TYC 318-412-1                                                         |Star                           |14 27 27.9316068984 +01 13 27.271860744|348.5962265652067 +55.3416493085053|  9.864 -20.262    |10.93    |~                   |    ~     ~    
2140|TYC 318-466-1                                                         |High Proper Motion Star        |14 29 27.5102349912 +00 55 36.443349552|348.9340863242479 +54.7946457046602| 54.644 -44.576    |10.08    |~                   |    ~     ~    
2141|TYC 318-630-1                                                         |Star                           |14 26 19.6960261584 +00 52 21.582015564|347.8189276504471 +55.2490934019022|-29.962 -10.345    |10.85    |~                   |    ~     ~    
2142|TYC 318-890-1                                                         |Star                           |14 29 06.7371435624 +01 50 08.447046180|349.8452837301275 +55.5448153573979| -0.194 -11.234    |10.53    |~                   |    ~     ~    
2143|TYC 318-1094-1                                                        |Star                           |14 29 42.2207494344 +01 58 54.164712396|350.2116850848606 +55.5591200479342|   -0.557 0.893    |10.55    |~                   |    ~     ~    
2144|TYC 318-1324-1                                                        |Star                           |14 27 43.2819121104 +00 16 41.911005756|347.6424022598557 +54.5677420348296| -32.115 11.335    |10.48    |~                   |    ~     ~    
2145|TYC 318-1340-1                                                        |Star                           |14 29 07.4286722016 +00 05 29.804074548|347.9099262787672 +54.2023476476767| -25.381 11.861    |10.95    |~                   |    ~     ~    
2146|TYC 318-1345-1                                                        |Star                           |14 29 10.2162464256 +00 07 15.762721872|347.9570343970358 +54.2179113670957|-18.030 -14.702    |9.72     |~                   |    ~     ~    
2147|HD 126698A                                                            |High Proper Motion Star        |14 26 58.4638393824 +03 41 14.625128220|351.3237541008917 +57.2899395165576|-48.046 -69.864    |9.177    |~                   |    ~     ~    
2148|TYC 3038-108-1                                                        |Star                           |14 24 42.5214454368 +41 49 31.818060552|076.5903489073816 +65.9390784519277| -16.712 -2.276    |10.25    |~                   |    ~     ~    
2149|IRAS 14126+1953                                                       |Long-Period Variable           |14 15 00.4438869264 +19 39 23.276704680|016.0676566716249 +69.4561550619377|  -18.231 0.063    |10.13    |~                   |    ~     ~    
2150|BD+09 2882A                                                           |High Proper Motion Star        |14 23 22.6954782600 +08 26 47.826605184|356.5581245996064 +61.3327108536275| -75.188 -9.265    |5.037    |A0V                 |    ~     ~    
2151|HD 124929A                                                            |Star                           |14 16 20.2851508417 +06 04 52.030637985|350.5616200051648 +60.8389191996769|   -2.340 5.945    |7.86     |A0                  |    ~     ~    
2152|HD 125040A                                                            |High Proper Motion Star        |14 16 32.8432516152 +20 07 18.654243996|017.6975146305785 +69.3202735613053|-135.348 -95.322   |6.41     |~                   |    ~     ~    
2153|HD 126246A                                                            |High Proper Motion Star        |14 24 05.7641656824 +11 14 49.071690888|001.3069275680341 +63.0568984822448|  65.503 -1.020    |7.401    |F8V                 |    ~     ~    
2154|TYC 909-1097-1                                                        |Star                           |14 22 53.646 +09 43 20.16              |358.368647 +62.286796              |     -26.8 24.1    |9.87     |~                   |    ~     ~    
2155|BD+22 2706A                                                           |High Proper Motion Star        |14 27 54.7935481848 +21 22 33.899091384|023.5081725649212 +67.3112100047524| 41.948 -95.116    |9.489    |~                   |    ~     ~    
2156|TYC 318-1332-1                                                        |Star                           |14 27 46.223 +00 06 33.98              |347.477065 +54.428286              |      -34.0 2.1    |9.34     |~                   |    ~     ~    
2157|TYC 1472-733-1                                                        |Star                           |14 15 06.1393487760 +19 23 32.163783396|015.4180188299860 +69.3219733584517|-21.098 -12.392    |10.48    |G0V                 |    ~     ~    
2158|BD+19 2780                                                            |Star                           |14 16 14.3269575600 +19 06 59.021725788|015.0534476788923 +68.9597596024734|  1.173 -13.169    |9.81     |G1IV                |    ~     ~    
2159|GAT 1349                                                              |Star                           |14 16 38.7025155144 +19 15 47.122840620|015.5376756496091 +68.9381443909876|  -4.349 -4.195    |10.58    |~                   |    ~     ~    
2160|BD+33 2462                                                            |Star                           |14 25 48.7913867928 +32 46 47.069754348|054.1319034397354 +68.8420262368157|  0.779 -29.194    |10.36    |F7                  |    ~     ~    
