C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:01:59

Vmag< 11&dec< 0&rah >=3.75&rah< 4.0
-----------------------------------

Number of objects : 2900

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------
2204|CD-57 754                                                             |Star                           |03 51 19.3151463744 -57 22 38.296847928|269.4331219269860 -46.3430755492974|  15.464 -0.877   |10.722   |~                   |    ~     ~    
2205|CD-57 757                                                             |Star                           |03 51 56.5312025424 -56 45 23.184077580|268.5602406231900 -46.5181175216582|   2.729 13.538   |10.33    |~                   |    ~     ~    
2206|CD-57 768                                                             |Star                           |03 53 59.5033061952 -57 22 21.855959508|269.2159045802547 -46.0161349701142|  -7.741 -2.783   |10.37    |~                   |    ~     ~    
2207|CD-57 781                                                             |Star                           |03 56 18.4905709248 -56 39 52.650588240|268.1000748139871 -46.0022565978932|  11.742 10.676   |10.098   |~                   |    ~     ~    
2208|CD-57 782                                                             |Star                           |03 56 35.2856253360 -57 27 29.779127532|269.1300822719471 -45.6612612810026| -6.222 -28.217   |10.462   |~                   |    ~     ~    
2209|CD-55 795                                                             |Star                           |03 56 48.7740157848 -55 28 03.303850404|266.4556291114345 -46.3791024731529|  1.454 -16.642   |10.29    |~                   |    ~     ~    
2210|CD-56 801                                                             |Star                           |03 58 09.7608320160 -56 23 17.759891004|267.5940613090655 -45.8684008157793|   0.475 13.384   |10.35    |~                   |    ~     ~    
2211|CD-57 780                                                             |Star                           |03 56 05.7085625952 -57 19 13.429240644|268.9854981489577 -45.7762854344967|    4.990 1.637   |10.189   |~                   |    ~     ~    
2212|TYC 8504-830-1                                                        |Star                           |03 53 21.7997473920 -57 08 24.399715560|268.9574876928239 -46.1871009196126|  6.952 -13.014   |10.890   |~                   |    ~     ~    
2213|TYC 8504-847-1                                                        |Star                           |03 58 27.8214500544 -57 10 26.253769512|268.6157786653807 -45.5369296875485|   14.524 3.079   |10.74    |~                   |    ~     ~    
2214|TYC 8504-921-1                                                        |High Proper Motion Star        |03 57 36.9517167000 -55 58 27.896126340|267.0798085268988 -46.0905598542876|   0.958 90.664   |10.628   |~                   |    ~     ~    
2215|TYC 8504-1019-1                                                       |High Proper Motion Star        |03 58 17.9756569344 -56 11 08.783988504|267.3132926739278 -45.9248135913422|  7.210 -63.893   |10.94    |~                   |    ~     ~    
2216|TYC 8504-1077-1                                                       |Star                           |03 54 46.5637957080 -56 05 23.423667972|267.4474147451492 -46.4162222244489|    5.557 2.465   |10.73    |~                   |    ~     ~    
2217|TYC 8504-1167-1                                                       |Star                           |03 58 20.7184619904 -55 52 32.858897628|266.8940830580592 -46.0309198390504|   6.458 16.877   |10.643   |~                   |    ~     ~    
2218|TYC 8504-1359-1                                                       |Spectroscopic Binary           |03 58 36.1994454600 -56 15 02.017443996|267.3779209683333 -45.8619114980350|  -5.955 88.082   |10.895   |~                   |    ~     ~    
2219|TYC 8504-1577-1                                                       |Star                           |03 59 27.0708069768 -55 47 35.104737480|266.7033444987851 -45.9152743829174|   0.220 19.024   |10.92    |~                   |    ~     ~    
2220|TYC 8504-1664-1                                                       |Star                           |03 56 35.5142163528 -56 13 06.340999980|267.4828689857706 -46.1336254335366|  21.740 -4.402   |10.86    |~                   |    ~     ~    
2221|TYC 8504-1688-1                                                       |Star                           |03 59 16.9582822680 -56 24 45.680164344|267.5454223037397 -45.7152564585016|   -2.458 0.010   |10.358   |~                   |    ~     ~    
2222|TYC 8507-1353-1                                                       |Star                           |03 53 46.9023129336 -57 38 35.855197224|269.5885319299725 -45.9328797130913| 37.205 -31.354   |10.67    |~                   |    ~     ~    
2223|HD 23787                                                              |Star                           |03 45 09.7564793760 -54 59 42.877981176|266.7420493708062 -48.0947614521654|  12.978 16.242   |9.74     |F0V                 |    ~     ~    
2224|HD 23942                                                              |Star                           |03 46 24.7011878280 -54 40 47.241705792|266.2019575474566 -48.0544415710580|  0.414 -43.061   |9.57     |F8V                 |    ~     ~    
2225|HD 24250                                                              |Star                           |03 48 51.0357350112 -54 59 59.948359260|266.4387135715323 -47.6066177889302|  22.957 36.923   |7.17     |K0III               |    ~     ~    
2226|HD 24332                                                              |Spectroscopic Binary           |03 49 32.47441 -55 20 54.7838          |266.85806082 -47.38092078          |    10.00 23.12   |9.66     |F3V                 |    ~     ~    
2227|HD 24510                                                              |Star                           |03 51 09.1007179752 -55 28 57.355618404|266.9104467456021 -47.1183763107543|  33.955 24.890   |9.37     |F5V                 |    ~     ~    
2228|CD-55 774                                                             |Star                           |03 52 10.1675098536 -55 04 23.996152236|266.2729998856192 -47.1387987033998|  10.718 -0.312   |9.88     |~                   |    ~     ~    
