C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:51:40

Vmag< 11&dec< 0&rah >=14.25&rah< 14.5
-------------------------------------

Number of objects : 5563

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |      ang. size      
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------------
2904|HD 124909                                                             |Star                                  |14 18 26.8677200088 -60 53 54.160803204|313.3159568777003 +00.2070072552143|  -3.739 -2.737   |9.08     |O9/B0V         |    ~     ~          
2905|HD 125534                                                             |Star                                  |14 22 04.3393656288 -60 22 10.623355932|313.9122801075702 +00.5554847857430|  -7.818 -7.151   |8.53     |B8III          |    ~     ~          
2906|HD 125670                                                             |Star                                  |14 23 07.2233531520 -60 25 47.913582756|314.0129630759074 +00.4542087983728|    5.110 1.215   |9.80     |A5V            |    ~     ~          
2907|HD 125900                                                             |Star                                  |14 24 35.4567194208 -60 23 00.909738060|314.1992920122410 +00.4342697470676|  -2.814 -3.726   |9.76     |B8II           |    ~     ~          
2908|HD 126116                                                             |Star                                  |14 25 47.4526113864 -60 29 39.939346104|314.2984675654911 +00.2782143038620|-27.504 -18.217   |8.48     |A8IV           |    ~     ~          
2909|HD 126320                                                             |S Star                                |14 27 03.5392360296 -60 17 28.305218472|314.5175321253819 +00.4118090531606|   6.955 -5.882   |8.16     |S4*2           |    ~     ~          
2910|CD-59 5261                                                            |Star                                  |14 28 01.6951566744 -60 17 54.851436780|314.6267776922307 +00.3614237241557|  -5.004 -2.953   |10.15    |OB-            |    ~     ~          
2911|HD 126593                                                             |Pulsating Variable                    |14 28 50.8739114832 -60 32 25.110760466|314.6325665632709 +00.0994389220261|  -5.268 -2.907   |8.65     |B1/2Ib         |    ~     ~          
2912|CD-60 5139                                                            |Emission-line Star                    |14 18 55.3692334656 -61 01 53.381150940|313.3263323406367 +00.0623196031342|  -3.674 -3.294   |9.78     |OB-e           |    ~     ~          
2913|HD 125052                                                             |High Proper Motion Star               |14 19 11.8192208928 -60 49 33.917914020|313.4259495663242 +00.2450145698923|-167.802 -31.802  |8.28     |G8IV           |    ~     ~          
2914|HD 125107                                                             |Star                                  |14 19 30.0295650744 -60 43 42.171961368|313.4934227163135 +00.3248042513663|  -7.237 -7.150   |9.88     |A0V            |    ~     ~          
2915|HD 125158                                                             |High Proper Motion Star               |14 19 51.5027170776 -61 16 22.705691232|313.3522637715419 -00.2029616308262|-165.840 -89.507  |5.23     |A5/7mA7-F2     |    ~     ~          
2916|HD 125206                                                             |Star                                  |14 20 09.0397470528 -61 04 54.621382980|313.4495637445467 -00.0347173681897|  -2.982 -3.735   |7.92     |O9.7IVn        |    ~     ~          
2917|HD 125241                                                             |Pulsating Variable                    |14 20 22.7843645064 -60 53 22.245268236|313.5404157415920 +00.1370587982355|  -7.023 -1.938   |8.60     |O8.5Ib(f)      |    ~     ~          
2918|HD 125318                                                             |Double or Multiple Star               |14 20 54.0348971424 -61 17 25.061221500|313.4643132548583 -00.2614348213138|      -1.2 -2.2   |9.63     |B8III/IV       |    ~     ~          
2919|HD 125330                                                             |Star                                  |14 20 57.2848021944 -60 53 09.582886464|313.6074309801196 +00.1167429110515|  -8.591 -7.550   |10.22    |B9V            |    ~     ~          
2920|HD 125464                                                             |Star                                  |14 21 50.8841577840 -61 02 11.744478204|313.6580874959207 -00.0617673791165|  -2.891 -4.141   |9.67     |B8/9V          |    ~     ~          
2921|HD 125484                                                             |Star                                  |14 21 50.5288818072 -60 50 14.294102208|313.7255784203475 +00.1257498407103|  -6.341 -2.788   |8.97     |G8/K0III       |    ~     ~          
2922|HD 125546                                                             |Star                                  |14 22 23.3757400992 -61 21 18.272856384|313.6101108247598 -00.3832990023274|  -5.364 -3.631   |10.11    |B5/8           |    ~     ~          
2923|HD 125575                                                             |Star                                  |14 22 32.6752498776 -60 52 41.335048884|313.7918782045173 +00.0580295079731|  -3.495 -7.671   |9.46     |G3/5III        |    ~     ~          
2924|CD-60 5168                                                            |Emission-line Star                    |14 22 45.0235651416 -60 39 12.913980660|313.8929200877756 +00.2601429645331|  -4.169 -2.002   |10.23    |OB-e           |    ~     ~          
2925|Cl Lynga 2 30                                                         |Star                                  |14 23 59.4815822136 -61 18 11.550780540|313.8083005376672 -00.4012935410345|  -6.843 -4.493   |9.17     |B6:            |    ~     ~          
2926|CPD-60 5333B                                                          |Star                                  |14 23 58.7899229352 -61 18 06.612645528|313.8074837467017 -00.3995245011808|  -6.227 -3.166   |10.28    |B7:            |    ~     ~          
