C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:46:59

Vmag< 11&dec >=0&rah >=19.75&rah< 20.0
--------------------------------------

Number of objects : 10261

  #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |      spec. type       |   ang. size   
-----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------------|---------------
9656 |TYC 2681-5-1                                                          |Star                           |19 51 06.6488625264 +36 57 31.898136348|072.0945508279159 +05.2254587076500| -5.000 -17.589  |10.77    |~                      |    ~     ~    
9657 |HD 187375B                                                            |Star                           |19 48 16.5543697056 +37 09 37.659710196|071.9851176204386 +05.8159206311981|  -4.100 -5.680  |8.58     |~                      |    ~     ~    
9658 |TYC 2681-209-1                                                        |Star                           |19 55 03.0219503544 +36 50 10.063335336|072.3904175418817 +04.4848493588995|  -2.011 -0.464  |10.86    |~                      |    ~     ~    
9659 |TYC 2681-251-1                                                        |Star                           |19 56 02.7676149504 +37 15 03.342139128|072.8498003091241 +04.5273879496865|  -2.050 -3.470  |10.69    |~                      |    ~     ~    
9660 |TYC 2681-286-1                                                        |Star                           |19 52 13.5823030488 +36 07 27.718645080|071.4858116566965 +04.6100339247732|   1.339 -4.762  |10.83    |~                      |    ~     ~    
9661 |TYC 2681-291-1                                                        |Star                           |19 52 46.2358108104 +37 03 13.026711744|072.3449251431284 +04.9875726848115|  -2.025 -2.775  |10.67    |~                      |    ~     ~    
9662 |TYC 2681-353-1                                                        |Star                           |19 51 43.6399473744 +37 23 25.088839728|072.5308580035583 +05.3371420101344|   0.836 -1.668  |10.99    |~                      |    ~     ~    
9663 |TYC 2681-365-1                                                        |Star                           |19 55 17.2825578072 +37 24 04.207270536|072.9014916303734 +04.7338584333956|  -1.901 -6.067  |10.89    |~                      |    ~     ~    
9664 |TYC 2681-452-1                                                        |Star                           |19 49 44.0608905600 +36 03 33.050609568|071.1742490727420 +05.0116644682690|  -5.276 -8.855  |10.74    |~                      |    ~     ~    
9665 |TYC 2681-488-1                                                        |Star                           |19 55 13.4870408784 +36 00 29.180440368|071.6958981997929 +04.0297044838585|  -4.490 -2.083  |10.97    |~                      |    ~     ~    
9666 |TYC 2681-592-1                                                        |Star                           |19 51 36.0932115288 +36 23 42.551906712|071.6560225960420 +04.8558297926431|  -3.201 -3.908  |10.43    |~                      |    ~     ~    
9667 |TYC 2681-598-1                                                        |Star                           |19 55 36.9775380096 +36 20 32.123380740|072.0239545014157 +04.1337397246000|   -3.510 2.959  |10.75    |~                      |    ~     ~    
9668 |TYC 2681-622-1                                                        |Star                           |19 51 28.8452774784 +35 53 37.427130600|071.2096731087141 +04.6231221739163|   5.869 -6.883  |10.78    |~                      |    ~     ~    
9669 |TYC 2681-696-1                                                        |Star                           |19 55 11.7126030264 +36 22 13.336940100|072.0044486897387 +04.2209148654660|   9.068 -3.931  |10.78    |~                      |    ~     ~    
9670 |TYC 2681-742-1                                                        |Star                           |19 53 43.0514188608 +35 52 08.696301852|071.4194756823536 +04.2204697754300|  -0.599 -8.620  |10.71    |~                      |    ~     ~    
9671 |TYC 2681-819-1                                                        |Star                           |19 53 23.6969290632 +36 59 10.755841668|072.3503432467193 +04.8460413898148|  5.040 -10.374  |10.55    |~                      |    ~     ~    
9672 |TYC 2681-836-1                                                        |Star                           |19 52 09.8866108392 +36 11 19.592962116|071.5351666651248 +04.6534290350609|  -1.329 -3.982  |10.30    |~                      |    ~     ~    
9673 |TYC 2681-855-1                                                        |Star                           |19 51 09.3436671864 +36 58 47.170271316|072.1172247971319 +05.2282550305534| -5.396 -21.756  |10.76    |~                      |    ~     ~    
9674 |TYC 2681-860-1                                                        |Star                           |19 48 19.8580087248 +36 26 41.846075340|071.3673426404156 +05.4497248342625|  -6.746 -3.167  |10.64    |~                      |    ~     ~    
9675 |TYC 2681-1052-1                                                       |Star                           |19 53 27.2998111152 +35 52 57.051459444|071.4038285555681 +04.2730540964934|   7.435 -0.950  |10.85    |~                      |    ~     ~    
9676 |TYC 2681-1228-1                                                       |Star                           |19 56 18.6527924376 +36 12 20.123091000|071.9788324089377 +03.9433451134068|   1.461 -1.535  |10.74    |~                      |    ~     ~    
9677 |TYC 2681-1278-1                                                       |Star                           |19 55 50.9848825512 +35 50 15.628999920|071.6146869326232 +03.8335131919919|  -0.053 -0.009  |10.96    |~                      |    ~     ~    
9678 |TYC 2681-1386-1                                                       |Star                           |19 50 04.2887580096 +36 49 13.493348688|071.8693840657580 +05.3353808014023|   -8.873 7.413  |10.61    |~                      |    ~     ~    
9679 |TYC 2682-12-1                                                         |Star                           |19 57 04.8699555768 +36 01 38.881714872|071.9065921127275 +03.7181071939488|   0.423 -0.572  |10.79    |~                      |    ~     ~    
9680 |TYC 2682-19-1                                                         |Star                           |19 57 26.6448488160 +37 21 06.723973692|073.0803772831839 +04.3413052501667|  -0.833 -4.271  |10.59    |~                      |    ~     ~    
9681 |HD 226879A                                                            |Star                           |19 58 27.0031734408 +35 52 58.374360624|071.9269054611027 +03.4062834258992|    3.162 2.199  |9.84     |~                      |    ~     ~    
9682 |TYC 2682-3207-1                                                       |Star                           |19 57 28.2816815568 +37 02 03.454832508|072.8107034007276 +04.1723082675592| -1.486 -10.039  |10.55    |~                      |    ~     ~    
9683 |TYC 3136-26-1                                                         |Star                           |19 48 51.5631065784 +37 51 42.380284428|072.6544758968158 +06.0648881843072|   2.161 -3.675  |10.65    |~                      |    ~     ~    
9684 |TYC 3136-132-1                                                        |Star                           |19 49 28.5003659352 +38 05 50.292161916|072.9206192357339 +06.0772026845939|   1.923 -1.164  |10.76    |~                      |    ~     ~    
