C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:00:59

Vmag< 11&dec< 0&rah >=15.5&rah< 15.75
-------------------------------------

Number of objects : 6376

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |    spec. type     |      ang. size      
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|-------------------|---------------------
5590|TYC 9026-4524-1                                                       |Star                           |15 33 04.7513111592 -63 44 58.451422092|319.6969382424692 -06.2711461264229|  -2.212 -3.698     |10.85    |~                  |    ~     ~          
5591|TYC 9026-4721-1                                                       |Star                           |15 41 47.8672977360 -63 43 42.155308272|320.4907859753124 -06.8265334057402|   2.479 19.394     |10.47    |~                  |    ~     ~          
5592|TYC 9026-4842-1                                                       |Star                           |15 36 18.8459979000 -63 35 10.267664460|320.0857880336358 -06.3486149086886| -16.744 -3.708     |10.89    |~                  |    ~     ~          
5593|TYC 9026-4917-1                                                       |Star                           |15 33 24.2733575232 -63 23 24.755821836|319.9364827315622 -05.9996238567009|  -3.526 -2.398     |10.99    |~                  |    ~     ~          
5594|CD-63 1098                                                            |Star                           |15 35 45.6953070336 -63 44 34.664034768|319.9430040851526 -06.4391653559118|  -5.074 -8.158     |10.14    |~                  |    ~     ~          
5595|TYC 9026-5075-1                                                       |Star                           |15 37 04.1107810248 -61 59 07.486555884|321.1057752855509 -05.1076726189026|   3.417 -4.662     |10.72    |~                  |    ~     ~          
5596|TYC 9027-538-1                                                        |Star                           |15 44 23.2318 -63 29 45.808            |320.8631204 -06.8180933            |  -0.557 -3.499     |10.54    |~                  |    ~     ~          
5597|TYC 9027-843-1                                                        |Star                           |15 43 49.2125844816 -62 06 12.759472476|321.6696359643205 -05.6776774973646|  -7.117 -3.539     |10.79    |~                  |    ~     ~          
5598|TYC 9027-2204-1                                                       |Star                           |15 44 24.4867617936 -62 29 10.717747080|321.4884465114452 -06.0221924329603|-14.113 -15.175     |10.26    |~                  |    ~     ~          
5599|TYC 9027-2303-1                                                       |Star                           |15 43 47.8315635888 -62 06 55.976434632|321.6601232478219 -05.6855358499175|  -5.619 -7.051     |10.74    |~                  |    ~     ~          
5600|TYC 9027-3059-1                                                       |Star                           |15 44 17.4480310224 -63 00 53.813873736|321.1517048761942 -06.4315552016019|  -0.896 -6.118     |10.72    |~                  |    ~     ~          
5601|GSC 09030-00409                                                       |Double or Multiple Star        |15 39 04.8076163520 -63 45 03.573458208|320.2354881200644 -06.6634457306883|  -5.731 -6.138     |10.900   |~                  |    ~     ~          
5602|TYC 9030-581-1                                                        |Star                           |15 36 12.5027884368 -65 20 59.999208864|319.0265101395050 -07.7649819364598|  -0.560 -2.360     |10.90    |~                  |    ~     ~          
5603|TYC 9030-593-1                                                        |Star                           |15 40 40.3135302000 -65 18 33.585060888|319.4278410333528 -08.0110541046438|  -2.022 -8.002     |10.73    |~                  |    ~     ~          
5604|TYC 9030-1050-1                                                       |Double or Multiple Star        |15 36 36.530904 -64 24 12.91320        |319.625713226 -07.027137907        |       11.1 6.8     |10.892   |~                  |    ~     ~          
5605|TYC 9030-1327-1                                                       |Star                           |15 41 44.0627848464 -63 54 46.880292060|320.3723631671021 -06.9690862626729|-13.861 -24.209     |10.82    |~                  |    ~     ~          
5606|TYC 9030-2067-1                                                       |Star                           |15 39 39.4262852064 -64 47 53.790208260|319.6528107195682 -07.5388893223632|  -2.498 -3.064     |10.91    |~                  |    ~     ~          
5607|TYC 9030-2821-1                                                       |Star                           |15 30 12.5019036720 -64 53 12.089596488|318.7810435505564 -07.0208986489187|   1.951 -4.160     |10.89    |~                  |    ~     ~          
5608|TYC 9030-3113-1                                                       |Star                           |15 37 43.1658546792 -64 57 06.091931952|319.3939782301101 -07.5386865698510|  -2.503 -6.560     |10.71    |~                  |    ~     ~          
5609|TYC 9030-3483-1                                                       |Star                           |15 42 51.0645553896 -64 38 16.279533708|320.0245299094812 -07.6179520477339| -9.113 -13.926     |10.84    |~                  |    ~     ~          
5610|TYC 9031-909-1                                                        |Star                           |15 43 56.9189291112 -65 00 43.199784216|319.8863376914270 -07.9851883400772|  -0.990 -0.469     |10.91    |~                  |    ~     ~          
5611|TYC 9031-1086-1                                                       |Star                           |15 44 49.8189032112 -64 13 39.960476724|320.4483717151588 -07.4250598546542|  -3.116 -0.790     |10.96    |~                  |    ~     ~          
5612|TYC 9031-1426-1                                                       |Star                           |15 43 18.9130169496 -64 12 58.746963276|320.3243372779563 -07.3149084149841|  -4.411 -5.092     |10.81    |~                  |    ~     ~          
5613|TYC 9031-1472-1                                                       |Star                           |15 44 15.3087868392 -64 10 30.876098160|320.4312063913519 -07.3451529760395|   0.420 -4.632     |10.82    |~                  |    ~     ~          
