C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:07:53

Vmag< 11&dec >=0&rah >=4.75&rah< 5.0
------------------------------------

Number of objects : 4641

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------
4312|TYC 2898-289-1                                                        |Star                           |04 51 21.3844958808 +40 33 19.800729972|164.1119372865792 -02.3974233998791|   0.915 -1.739  |10.74    |~                 |    ~     ~    
4313|TYC 2898-429-1                                                        |Star                           |04 54 59.9841874176 +40 32 38.116416588|164.5588915683593 -01.8686261647782|   4.396 -4.960  |10.96    |~                 |    ~     ~    
4314|TYC 2898-454-1                                                        |Star                           |04 53 00.4206588360 +41 08 06.609322680|163.8620005594660 -01.7882654492750|    4.408 0.224  |10.38    |~                 |    ~     ~    
4315|TYC 2898-648-1                                                        |Star                           |04 50 15.2841570168 +40 35 09.051811332|163.9549921957412 -02.5392090618465|  -0.620 -1.547  |10.93    |~                 |    ~     ~    
4316|TYC 2898-662-1                                                        |Star                           |04 50 09.1692446472 +40 29 56.975289180|164.0093462842001 -02.6095032622441|    2.526 0.617  |10.73    |~                 |    ~     ~    
4317|GSC 02898-00735                                                       |Spectroscopic Binary           |04 52 08.1537651024 +40 39 13.669127964|164.1301139671578 -02.2207267831430|  6.689 -11.890  |10.656   |~                 |    ~     ~    
4318|TYC 2898-1994-1                                                       |Star                           |04 50 04.6704955776 +39 31 27.169418064|164.7510506120368 -03.2435697409973|  -0.565 -0.346  |10.80    |~                 |    ~     ~    
4319|2MASS J04513714+3930304                                               |Red Giant Branch star          |04 51 37.1513323224 +39 30 30.282057036|164.9529283674307 -03.0245180926227|   4.230 -7.412  |10.59    |~                 |    ~     ~    
4320|TYC 2898-2038-1                                                       |Star                           |04 55 59.0398029984 +39 59 41.333205660|165.1046791838808 -02.0667040588748|  -4.527 -3.797  |10.55    |~                 |    ~     ~    
4321|TYC 2898-2194-1                                                       |Star                           |04 54 56.9328057264 +40 46 11.075286432|164.3770714328528 -01.7342286706972|   1.305 -1.735  |10.54    |~                 |    ~     ~    
4322|TYC 2898-2224-1                                                       |Star                           |04 54 41.5039651416 +39 26 09.236445396|165.3843674330443 -02.6108075176618|   2.406 -7.888  |10.41    |~                 |    ~     ~    
4323|TYC 2898-2479-1                                                       |High Proper Motion Star        |04 59 34.6188786192 +41 00 30.317052348|164.7356714326639 -00.9014595710036| 66.736 -49.402  |10.79    |~                 |    ~     ~    
4324|TYC 2898-2505-1                                                       |Star                           |04 59 25.9688574288 +40 25 34.960250604|165.1763990923081 -01.2827092598811|  5.914 -11.005  |10.96    |~                 |    ~     ~    
4325|TYC 2898-2585-1                                                       |Star                           |04 58 54.3309593664 +41 02 30.664959432|164.6310318354838 -00.9802584389152|   2.384 -4.925  |10.20    |~                 |    ~     ~    
4326|TYC 2898-2635-1                                                       |Star                           |04 58 37.3918326024 +40 42 02.590386876|164.8656902136594 -01.2335871783613|  -5.163 -8.524  |10.93    |~                 |    ~     ~    
4327|2MASS J04573773+4056480                                               |Red Giant Branch star          |04 57 37.7278633776 +40 56 48.147212472|164.5559894593715 -01.2281697566900|   8.540 11.581  |10.14    |~                 |    ~     ~    
4328|TYC 2898-2717-1                                                       |Star                           |04 58 31.4679204768 +40 46 20.892187308|164.7977928514859 -01.2037549894557|  -0.782 -2.068  |10.01    |~                 |    ~     ~    
4329|TYC 2898-2776-1                                                       |Star                           |04 59 00.7824350760 +39 50 10.069589940|165.5906572636325 -01.7108888835445|  13.848 -7.779  |10.73    |~                 |    ~     ~    
4330|TYC 2898-2785-1                                                       |Star                           |04 57 44.5584772944 +40 56 02.879967444|164.5792165688270 -01.2191658345650|   6.017 -5.193  |10.19    |~                 |    ~     ~    
4331|TYC 2898-2801-1                                                       |Star                           |04 59 21.5248286856 +41 02 29.106609108|164.6842822352179 -00.9134090443660|   0.477 -3.683  |10.82    |~                 |    ~     ~    
4332|TYC 2898-2840-1                                                       |Star                           |04 59 09.0221970288 +39 40 06.269726172|165.7388113744790 -01.7939450695445|  1.290 -31.580  |10.96    |~                 |    ~     ~    
4333|TYC 2898-2858-1                                                       |Star                           |04 59 09.7059817416 +40 07 25.728491280|165.3822370631651 -01.5104677278841| -0.551 -19.238  |10.70    |~                 |    ~     ~    
4334|V* V828 Aur                                                           |Spectroscopic Binary           |04 57 18.3009763200 +40 56 43.094841684|164.5190002016157 -01.2768785772824| 11.014 -11.432  |10.48    |~                 |    ~     ~    
4335|TYC 2898-2902-1                                                       |Star                           |04 59 30.4790690952 +40 12 37.101317976|165.3551566266045 -01.4050028266065|   4.222 -2.871  |10.91    |~                 |    ~     ~    
4336|TYC 2901-147-1                                                        |Star                           |04 48 36.2282859528 +43 04 12.697702716|161.8505030956627 -01.1818172399435|   3.471 -5.154  |10.91    |~                 |    ~     ~    
4337|TYC 2901-682-1                                                        |Star                           |04 46 20.6440100832 +41 37 14.643802740|162.6876263270183 -02.4368836168302|   0.795 -2.935  |10.34    |~                 |    ~     ~    
4338|TYC 2901-705-1                                                        |Star                           |04 47 39.0326801328 +43 02 53.411073576|161.7550560888511 -01.3291218967970|   3.126 -1.350  |10.50    |~                 |    ~     ~    
4339|TYC 2901-973-1                                                        |Star                           |04 46 05.2156364136 +42 56 42.089088876|161.6484625060245 -01.6137721309835|   8.445 -6.488  |10.73    |~                 |    ~     ~    
4340|TYC 2901-1193-1                                                       |Star                           |04 47 55.4635594776 +42 41 39.054087240|162.0579122037459 -01.5192795681381|   3.905 -7.365  |10.75    |~                 |    ~     ~    
4341|TYC 2901-1342-1                                                       |Star                           |04 49 54.0225884854 +41 42 54.596050111|163.0435718610310 -01.8681212662012|  -0.846 -3.013  |10.34    |~                 |    ~     ~    
